Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,601.45M,585.07M,556.12M,1.91B,437.52M
Cash & Short Term Investments Growth,-,-2.72%,-4.95%,243.95%,-77.13%
Cash Only,601.45M,585.07M,556.12M,1.91B,437.52M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,-,-,593.24M,-,-
Short Term Receivables Growth,-,-,-,-,-
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,38.64M,76.13M,91.05M,122.49M,258.15M
"Net Property, Plant & Equipments",-,-,118.04M,-,-
Other Assets (Including Intangibles),3.16B,3.22B,2.71B,3.02B,3.11B
Other Assets,3.16B,3.22B,2.16B,3.02B,3.11B
Intangible Assets,-,-,552.52M,-,-
Total Assets,56.44B,57.02B,58.49B,59.78B,59.76B
Total Assets Growth,-,1.02%,2.58%,2.21%,-0.03%
Return On Average Assets,-,-,-,-,5.13%
