Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,480.81M,958.25M,734.6M,940.52M,1.01B
Cash & Short Term Investments Growth,-,99.30%,-23.34%,28.03%,7.80%
Cash Only,480.81M,958.25M,734.6M,940.52M,1.01B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,-,-,-,-,-
Short Term Receivables Growth,-,-,-,-,-
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,25.63M,26.1M,26.69M,27.4M,27.5M
"Net Property, Plant & Equipments",-,-,-,-,-
Other Assets (Including Intangibles),424.03M,434.66M,483.86M,457.49M,430.07M
Other Assets,158.54M,175.71M,180.97M,186.36M,180.33M
Intangible Assets,265.49M,258.95M,302.89M,271.13M,249.74M
Total Assets,14.49B,15.28B,17.38B,17.7B,17.86B
Total Assets Growth,-,5.48%,13.71%,1.83%,0.93%
Return On Average Assets,-,-,-,-,12.91%
