Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,15.21B,18.75B,23.85B,25.6B,22.67B
Cash & Short Term Investments Growth,-,23.24%,27.19%,7.33%,-11.42%
Cash Only,15.21B,18.75B,23.85B,25.6B,22.67B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,4.87B,4.89B,4.87B,5.67B,5.31B
Short Term Receivables Growth,-,0.37%,-0.41%,16.42%,-6.30%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,9.84B,10.84B,11.13B,11.15B,12.67B
"Net Property, Plant & Equipments",896M,945M,930M,934M,983M
Other Assets (Including Intangibles),26.05B,26.16B,27.38B,29.35B,44B
Other Assets,25.19B,25.28B,26.51B,28.24B,42.19B
Intangible Assets,862M,882M,874M,1.11B,1.81B
Total Assets,57.16B,62.16B,68.46B,73.1B,86.11B
Total Assets Growth,-,8.74%,10.14%,6.78%,17.80%
Return On Average Assets,-,-,-,-,2.55%
