Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,336.17M,251.54M,433.64M,333.35M,288.36M
Cash & Short Term Investments Growth,-,-25.17%,72.39%,-23.13%,-13.50%
Cash Only,336.17M,251.54M,432.84M,333.35M,247.56M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,424.79M,421.54M,487.85M,524.02M,524.07M
Short Term Receivables Growth,-,-0.77%,15.73%,7.41%,0.01%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,92.61M,88.29M,111M,183.13M,192.57M
"Net Property, Plant & Equipments",2.35B,2.3B,2.27B,2.36B,2.36B
Other Assets (Including Intangibles),3.13B,3.01B,2.91B,3.03B,2.94B
Other Assets,81.76M,105.11M,105.69M,117.05M,140.6M
Intangible Assets,3.05B,2.91B,2.8B,2.91B,2.8B
Total Assets,9.96B,9.67B,9.8B,10.14B,10.01B
Total Assets Growth,-,-2.93%,1.38%,3.47%,-1.28%
Return On Average Assets,-,-,-,-,2.51%
