Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,334.3M,168.8M,155.3M,284.3M,169.9M
Cash & Short Term Investments Growth,-,-49.51%,-8.00%,83.07%,-40.24%
Cash Only,334.3M,168.8M,155.3M,284.3M,169.9M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.02%,1.04%,0.96%,1.78%,1.05%
Total Accounts Receivable,533.7M,566M,659.1M,563.2M,524.7M
Total Accounts Receivable Growth,-,6.05%,16.45%,-14.55%,-6.84%
"Accounts Receivables, Net",533.7M,566M,659.1M,563.2M,524.7M
"Accounts Receivables, Gross",536.1M,566M,659.1M,563.2M,527M
Bad Debt/Doubtful Accounts,(2.4M),-,-,-,(2.3M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.60,3.28,3.11,3.65,3.88
Inventories,959.9M,1.11B,1.1B,1.04B,1.09B
Finished Goods,543.8M,700.8M,695.5M,635.3M,638.6M
Work in Progress,63.8M,-,-,-,65.8M
Raw Materials,352.3M,404.7M,404.7M,406.8M,384.9M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,113.8M,112.6M,94.2M,98.6M,226.2M
Miscellaneous Current Assets,113.8M,112.6M,94.2M,98.6M,226.2M
Total Current Assets,1.94B,1.95B,2.01B,1.99B,2.01B
"Net Property, Plant & Equipment",2.14B,2.12B,2.14B,2.11B,2.24B
"Property, Plant & Equipment - Gross",3.99B,4.02B,4.09B,4.05B,4.22B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.84B,1.9B,1.95B,1.94B,1.98B
Total Investments and Advances,31M,30.8M,30M,30M,26.6M
Other Long-Term Investments,31M,30.8M,30M,30M,26.6M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,12.06B,12.01B,11.95B,11.73B,11.67B
Net Goodwill,6.02B,6.02B,6.02B,6.02B,6.02B
Net Other Intangibles,6.04B,5.99B,-,-,-
Other Assets,103.2M,99.9M,110.3M,111.5M,112.1M
Total Assets,16.51B,16.21B,16.24B,15.97B,16.25B
Total Assets Growth,-,-1.83%,0.18%,-1.69%,1.77%
