Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.29B,438.42M,533.94M,514.93M,541.24M
Cash & Short Term Investments Growth,-,-66.03%,21.79%,-3.56%,5.11%
Cash Only,1.29B,438.42M,533.94M,514.93M,541.24M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,952.73M,935.05M,919.65M,819.83M,828.88M
Short Term Receivables Growth,-,-1.86%,-1.65%,-10.85%,1.10%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,349.4M,348.9M,624.51M,353.3M,370.9M
"Net Property, Plant & Equipments",508.37M,506.24M,504.12M,501.91M,499.7M
Other Assets (Including Intangibles),867.55M,867.64M,612.3M,849.95M,896.71M
Other Assets,867.55M,867.64M,558.92M,849.95M,896.71M
Intangible Assets,-,-,53.38M,-,-
Total Assets,34.83B,33.95B,33.78B,33.45B,33.08B
Total Assets Growth,-,-2.53%,-0.50%,-0.97%,-1.11%
Return On Average Assets,-,-,-,-,6.56%
