Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,368M,904M,578M,2.53B,2.03B
Cash & Short Term Investments Growth,-,145.65%,-36.06%,338.24%,-19.70%
Cash Only,368M,904M,578M,2.53B,2.03B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.54%,1.28%,0.80%,3.38%,2.69%
Total Accounts Receivable,1.94B,2.01B,2.57B,3.01B,2.88B
Total Accounts Receivable Growth,-,3.61%,27.97%,16.88%,-4.13%
"Accounts Receivables, Net",1.44B,1.42B,2.07B,1.86B,1.84B
"Accounts Receivables, Gross",1.44B,1.42B,2.21B,1.86B,1.84B
Bad Debt/Doubtful Accounts,-,-,(136M),-,-
Other Receivable,498M,593M,-,-,-
Accounts Receivable Turnover,1.49,1.58,1.44,1.29,1.28
Inventories,339M,371M,389M,352M,377M
Finished Goods,152M,186M,191M,151M,169M
Work in Progress,-,-,-,-,-
Raw Materials,187M,185M,198M,201M,208M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.11B,1.31B,837M,611M,610M
Miscellaneous Current Assets,1.11B,1.31B,577M,372M,437M
Total Current Assets,3.76B,4.59B,4.38B,6.5B,5.9B
"Net Property, Plant & Equipment",42.43B,43.26B,44.49B,45.2B,45.98B
"Property, Plant & Equipment - Gross",56.98B,57.97B,59.53B,60.59B,61.44B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,14.55B,14.72B,15.05B,15.39B,15.45B
Total Investments and Advances,15.08B,14.96B,15.49B,15.74B,16.02B
Other Long-Term Investments,1.03B,1.01B,1.02B,949M,922M
Long-Term Note Receivables,1.12B,1.1B,997M,360M,344M
Intangible Assets,1.98B,1.98B,1.97B,1.97B,1.96B
Net Goodwill,1.6B,1.6B,1.6B,1.6B,1.6B
Net Other Intangibles,382M,376M,-,-,-
Other Assets,4.08B,4.43B,4.58B,5.01B,5.24B
Total Assets,68.61B,70.47B,72.05B,74.92B,75.58B
Total Assets Growth,-,2.72%,2.23%,3.99%,0.88%
