Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,503.8M,103.4M,361.3M,199.4M,101.8M
Cash & Short Term Investments Growth,-,-79.48%,249.42%,-44.81%,-48.95%
Cash Only,503.8M,103.4M,361.3M,199.4M,101.8M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.92%,0.41%,1.42%,0.77%,0.39%
Total Accounts Receivable,922.8M,972.8M,917.8M,1.12B,879.9M
Total Accounts Receivable Growth,-,5.42%,-5.65%,21.94%,-21.38%
"Accounts Receivables, Net",922.8M,972.8M,917.8M,899M,879.9M
"Accounts Receivables, Gross",922.8M,972.8M,917.8M,899M,879.9M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.20,2.44,2.53,1.88,2.69
Inventories,1.38B,1.34B,1.52B,1.57B,1.66B
Finished Goods,501.7M,469.5M,539.3M,583.1M,620.5M
Work in Progress,706.1M,703.5M,821.7M,804.8M,820.9M
Raw Materials,169.8M,166M,157.9M,185.3M,215M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,508.9M,528.5M,578.6M,437.9M,664.1M
Miscellaneous Current Assets,508.9M,528.5M,578.6M,183.8M,664.1M
Total Current Assets,3.31B,2.94B,3.38B,3.33B,3.3B
"Net Property, Plant & Equipment",5.39B,5.51B,5.52B,6.54B,6.16B
"Property, Plant & Equipment - Gross",-,-,-,8.49B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,1.95B,-
Total Investments and Advances,3.78B,3.36B,3.07B,2.93B,2.81B
Other Long-Term Investments,1.12B,539.9M,317.2M,246.2M,273M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,10.54B,10.53B,10.6B,10.62B,10.68B
Net Goodwill,7.81B,7.8B,7.85B,7.86B,7.92B
Net Other Intangibles,2.73B,2.73B,-,-,-
Other Assets,578.1M,555.7M,538.8M,83.6M,553M
Total Assets,26.19B,25.34B,25.53B,25.86B,25.84B
Total Assets Growth,-,-3.25%,0.74%,1.29%,-0.06%
