Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.42B,1.2B,982M,749M,820M
Cash & Short Term Investments Growth,-,-15.04%,-18.37%,-23.73%,9.48%
Cash Only,1.42B,1.2B,982M,749M,820M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.72%,5.61%,4.59%,3.49%,3.84%
Total Accounts Receivable,2.99B,2.93B,2.84B,3.07B,3.13B
Total Accounts Receivable Growth,-,-1.91%,-2.87%,7.88%,2.09%
"Accounts Receivables, Net",2.99B,2.93B,2.84B,3.07B,3.13B
"Accounts Receivables, Gross",3.03B,2.97B,2.89B,3.12B,3.19B
Bad Debt/Doubtful Accounts,(41M),(41M),(41M),(50M),(54M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.29,1.30,1.34,1.31,1.31
Inventories,2.39B,2.51B,2.85B,3B,3.03B
Finished Goods,1.08B,1.2B,1.29B,1.39B,1.42B
Work in Progress,1B,991M,1.13B,1.18B,1.19B
Raw Materials,315M,320M,423M,429M,419M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,601M,621M,573M,601M,603M
Miscellaneous Current Assets,601M,621M,573M,601M,603M
Total Current Assets,7.39B,7.26B,7.24B,7.42B,7.58B
"Net Property, Plant & Equipment",3.72B,4.22B,3.83B,3.82B,3.71B
"Property, Plant & Equipment - Gross",-,10.96B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,6.74B,-,-,-
Total Investments and Advances,16M,18M,30M,51M,-
Other Long-Term Investments,16M,18M,30M,51M,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.92B,7.14B,7.01B,6.9B,6.71B
Net Goodwill,5.4B,5.59B,5.5B,5.46B,5.35B
Net Other Intangibles,1.52B,1.55B,-,-,-
Other Assets,784M,321M,783M,796M,868M
Total Assets,21.06B,21.46B,21.41B,21.45B,21.35B
Total Assets Growth,-,1.92%,-0.25%,0.20%,-0.48%
