Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,3.53B,7.11B,6.79B,6.23B,4.3B
Cash & Short Term Investments Growth,-,101.24%,-4.42%,-8.32%,-31.02%
Cash Only,3.53B,7.11B,6.79B,6.23B,4.3B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.03%,24.69%,22.59%,21.88%,15.50%
Total Accounts Receivable,-,737.34M,701.81M,632.16M,630.02M
Total Accounts Receivable Growth,-,-,-4.82%,-9.92%,-0.34%
"Accounts Receivables, Net",-,615.63M,615.12M,517.62M,576.3M
"Accounts Receivables, Gross",-,615.63M,615.12M,517.62M,576.3M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,121.7M,-,-,-
Accounts Receivable Turnover,-,16.38,17.86,21.92,18.11
Inventories,7.08B,5.09B,6.63B,5.96B,6.99B
Finished Goods,-,5.09B,6.63B,5.96B,6.99B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,459.05M,449.38M,438.1M,565.35M
Miscellaneous Current Assets,-,459.05M,449.38M,438.1M,565.35M
Total Current Assets,11.83B,13.39B,14.58B,13.26B,12.48B
"Net Property, Plant & Equipment",14.38B,14.29B,14.31B,14.12B,14.36B
"Property, Plant & Equipment - Gross",-,21.28B,21.37B,21.29B,21.57B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,6.99B,7.07B,7.16B,7.22B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,96.6M,97.97M,98.6M,219.54M,96.91M
Net Goodwill,-,97.97M,98.6M,96.66M,96.91M
Net Other Intangibles,-,-,-,-,-
Other Assets,-,878.36M,893.61M,673.59M,599.32M
Total Assets,27.09B,28.78B,30.07B,28.46B,27.71B
Total Assets Growth,-,6.25%,4.47%,-5.35%,-2.64%
