Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.51B,3.42B,1.52B,2B,2.12B
Cash & Short Term Investments Growth,-,-2.74%,-55.45%,31.15%,5.93%
Cash Only,3.51B,3.42B,1.52B,2B,2.12B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,563.6M,581.6M,589.8M,584.5M,513.2M
Short Term Receivables Growth,-,3.19%,1.41%,-0.90%,-12.20%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,4.47B,4.78B,3.87B,3.44B,2.7B
"Net Property, Plant & Equipments",818.4M,825.3M,937.4M,900.8M,905.4M
Other Assets (Including Intangibles),1.24B,1.27B,4.52B,4.33B,4.36B
Other Assets,574.8M,602.6M,913.8M,797.5M,851.7M
Intangible Assets,665.7M,665.7M,3.61B,3.53B,3.51B
Total Assets,11.28B,11.45B,12.51B,12.35B,11.77B
Total Assets Growth,-,1.52%,9.24%,-1.29%,-4.69%
Return On Average Assets,-,-,-,-,25.65%
