Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.87B,1.36B,1.33B,1.28B,528.03M
Cash & Short Term Investments Growth,-,-27.41%,-1.93%,-4.34%,-58.62%
Cash Only,1.27B,1.36B,1.33B,1.28B,528.03M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.83%,9.79%,9.85%,9.56%,4.00%
Total Accounts Receivable,1.14B,1.79B,1.5B,1.47B,1.25B
Total Accounts Receivable Growth,-,56.95%,-16.31%,-1.90%,-14.78%
"Accounts Receivables, Net",1.14B,1.79B,1.5B,1.47B,1.25B
"Accounts Receivables, Gross",1.17B,1.82B,1.53B,1.5B,1.28B
Bad Debt/Doubtful Accounts,(33.67M),(33.82M),(33.36M),(27.96M),(29.78M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.93,1.79,2.43,1.93,1.81
Inventories,1.22B,1.46B,1.29B,1.42B,2.34B
Finished Goods,1.14B,1.4B,1.22B,1.35B,2.28B
Work in Progress,53.2M,50.47M,49.93M,50.77M,49M
Raw Materials,23.69M,16.25M,19.18M,14.42M,15.25M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,333.64M,355.91M,482.31M,424.56M,490.55M
Miscellaneous Current Assets,333.64M,355.91M,482.31M,424.56M,490.55M
Total Current Assets,4.56B,4.97B,4.6B,4.59B,4.61B
"Net Property, Plant & Equipment",2.44B,2.39B,2.35B,2.29B,2.24B
"Property, Plant & Equipment - Gross",-,-,-,3.38B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,1.09B,-
Total Investments and Advances,7.09M,7.93M,7.17M,187.32M,22.6M
Other Long-Term Investments,7.09M,7.93M,7.17M,187.32M,22.6M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.46B,5.43B,5.42B,5.74B,5.34B
Net Goodwill,2.43B,2.42B,2.41B,2.39B,2.36B
Net Other Intangibles,3.03B,3.02B,-,-,-
Other Assets,1.08B,1.09B,1.16B,434.59M,998.45M
Total Assets,13.55B,13.89B,13.54B,13.34B,13.21B
Total Assets Growth,-,2.50%,-2.54%,-1.43%,-0.98%
