Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.32B,2.27B,1.93B,1.14B,1.12B
Cash & Short Term Investments Growth,-,-2.12%,-14.89%,-40.88%,-2.19%
Cash Only,2.32B,2.27B,1.93B,1.14B,1.12B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,723.85M,745.74M,735.98M,760.75M,764.55M
Short Term Receivables Growth,-,3.03%,-1.31%,3.37%,0.50%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,8.73M,8.83M,26.66M,718.5M,569.01M
"Net Property, Plant & Equipments",365.22M,337.13M,337.2M,687.64M,685.96M
Other Assets (Including Intangibles),880.06M,1.23B,1.09B,966.84M,893.62M
Other Assets,858.72M,1.07B,930.3M,817.23M,749.03M
Intangible Assets,21.35M,158.44M,154.9M,149.61M,144.6M
Total Assets,16.66B,17.49B,17.27B,17.49B,17.15B
Total Assets Growth,-,5.00%,-1.27%,1.31%,-1.94%
Return On Average Assets,-,-,-,-,1.05%
