Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.22B,2.17B,4.72B,2.23B,1.94B
Cash & Short Term Investments Growth,-,-2.39%,117.76%,-52.85%,-12.89%
Cash Only,2.22B,2.17B,4.49B,2.2B,1.92B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,2.51B,2.07B,2.62B,2.2B,2.03B
Short Term Receivables Growth,-,-17.63%,26.97%,-16.29%,-7.38%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,55M,-,-
"Net Property, Plant & Equipments",1.76B,1.68B,1.57B,1.52B,1.37B
Other Assets (Including Intangibles),31.78B,31.37B,25.92B,26.9B,27.17B
Other Assets,18B,18.55B,13.18B,14.21B,14.61B
Intangible Assets,13.78B,12.83B,12.74B,12.69B,12.57B
Total Assets,38.27B,37.28B,34.97B,32.84B,32.51B
Total Assets Growth,-,-2.57%,-6.20%,-6.09%,-1.01%
Return On Average Assets,-,-,-,-,5.83%
