Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.47B,4.77B,6.8B,11.07B,18.86B
Cash & Short Term Investments Growth,-,37.60%,42.66%,62.81%,70.32%
Cash Only,3.47B,4.77B,6.8B,11.07B,18.86B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.03%,1.42%,2.01%,3.12%,5.13%
Total Accounts Receivable,28.54B,29.52B,32.38B,42.14B,48.06B
Total Accounts Receivable Growth,-,3.42%,9.71%,30.14%,14.05%
"Accounts Receivables, Net",28.54B,29.52B,26.88B,42.14B,48.06B
"Accounts Receivables, Gross",28.54B,29.52B,27.42B,42.14B,48.06B
Bad Debt/Doubtful Accounts,-,-,(540M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.35,2.49,2.53,2.14,2.34
Inventories,19.28B,19.61B,18.78B,22.18B,23.59B
Finished Goods,14.71B,15.09B,14.52B,18.07B,19.58B
Work in Progress,-,-,-,-,-
Raw Materials,4.56B,4.52B,4.26B,4.1B,4.01B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.56B,1.66B,1.19B,1.86B,2.65B
Miscellaneous Current Assets,1.56B,1.66B,1.19B,1.86B,2.65B
Total Current Assets,52.84B,55.56B,59.15B,77.26B,93.16B
"Net Property, Plant & Equipment",223.01B,218.8B,216.55B,212.77B,209.16B
"Property, Plant & Equipment - Gross",-,-,495.06B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,278.51B,-,-
Total Investments and Advances,-,-,45.2B,-,-
Other Long-Term Investments,-,-,5.64B,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,61.44B,62.34B,18.02B,64.74B,65.45B
Total Assets,337.29B,336.69B,338.92B,354.77B,367.77B
Total Assets Growth,-,-0.18%,0.66%,4.68%,3.67%
