Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,538.2M,700.5M,694.4M,928.5M,625.5M
Net Income Growth,-,30.16%,-0.87%,33.71%,-32.63%
"Depreciation, Depletion & Amortization",126M,129.1M,126.5M,129M,130.5M
Depreciation and Depletion,44.5M,42.9M,42.2M,42.8M,43.1M
Amortization of Intangible Assets,81.5M,86.2M,84.3M,86.2M,87.4M
Deferred Taxes & Investment Tax Credit,(212.8M),25.6M,20.8M,(44.3M),34.5M
Deferred Taxes,(212.8M),25.6M,20.8M,(44.3M),34.5M
Investment Tax Credit,-,-,-,-,-
Other Funds,310.5M,288.4M,308.1M,288.1M,352.6M
Funds from Operations,761.9M,1.14B,1.15B,1.3B,1.14B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(109.1M),(1.02B),(56.1M),(330.3M),(230.2M)
Receivables,25.4M,(51.8M),25.8M,(507.6M),47.1M
Accounts Payable,27.1M,(61.9M),42M,(21.4M),24.9M
Other Assets/Liabilities,(235.4M),(494.2M),(174.4M),(268.3M),(321.5M)
Net Operating Cash Flow,652.8M,121.9M,1.09B,971M,912.9M
Net Operating Cash Flow Growth,-,-81.33%,797.21%,-11.22%,-5.98%
Net Operating Cash Flow / Sales,17.47%,3.18%,27.17%,21.52%,22.12%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(120.4M),(129.1M),(127.4M),(152.6M),(144.3M)
Capital Expenditures Growth,-,-7.23%,1.32%,-19.78%,5.44%
Capital Expenditures / Sales,-3.22%,-3.37%,-3.16%,-3.38%,-3.50%
Capital Expenditures (Fixed Assets),(33.3M),(35.9M),(39.9M),(51M),(47.6M)
Capital Expenditures (Other Assets),(87.1M),(93.2M),(87.5M),(101.6M),(96.7M)
Net Assets from Acquisitions,-,-,(11.7M),-,-
Sale of Fixed Assets & Businesses,11M,26.2M,-,8M,-
Purchase/Sale of Investments,(1.04B),(1.13B),(2.09B),(2.35B),(906.4M)
Purchase of Investments,(2.12B),(2.41B),(2.81B),(3.72B),(1.79B)
Sale/Maturity of Investments,1.08B,1.28B,717.8M,1.37B,882.8M
Other Uses,-,-,-,-,-
Other Sources,(6.74B),12.1B,(634.4M),13.64B,(8.04B)
Net Investing Cash Flow,(1.15B),(1.24B),(2.23B),(2.5B),(1.05B)
Net Investing Cash Flow Growth,-,-7.64%,-80.52%,-11.80%,57.89%
Net Investing Cash Flow / Sales,-30.74%,-32.26%,-55.45%,-55.29%,-25.46%
