Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,1.55B,626M,881M,910M,176M
Funds from Operations Growth,-,-59.59%,40.73%,3.29%,-80.66%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,1.53B,1.33B,871M,432M,1.67B
Net Operating Cash Flow Growth,-,-13.02%,-34.46%,-50.40%,287.27%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(136M),(89M),(59M),(130M),(98M)
Capital Expenditures Growth,-,34.56%,33.71%,-120.34%,24.62%
Capital Expenditures (Fixed Assets),(136M),(89M),(59M),(130M),(98M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(1M),-,(112M),-,-
Sale of Fixed Assets & Businesses,-,-,2.06B,-,-
Purchase/Sale of Investments,(537M),535M,(1.66B),1.11B,(1.02B)
Purchase of Investments,(10.45B),(7.08B),(16.93B),(17.28B),(12.56B)
Sale/Maturity of Investments,9.92B,7.62B,15.27B,18.39B,11.54B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,4M,-,(4M),-,-
Net Investing Cash Flow,(670M),446M,221M,981M,(1.12B)
Net Investing Cash Flow Growth,-,166.57%,-50.45%,343.89%,-214.07%
