Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,1.21B,1.23B,1.12B,1.34B,1.34B
Funds from Operations Growth,-,1.73%,-9.25%,19.88%,-0.41%
Changes in Working Capital,(261.1M),862.4M,(440.9M),(678.8M),-
Receivables,-,-,-,-,-
Inventories,-,-,-,-,-
Accounts Payable,-,-,-,-,-
Other Assets/Liabilities,(261.1M),862.4M,140.3M,(678.8M),(421.6M)
Net Operating Cash Flow,951.9M,2.1B,678.9M,663.6M,915.3M
Net Operating Cash Flow Growth,-,120.23%,-67.62%,-2.25%,37.93%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(277.9M),(314M),(460M),(386.1M),(370.1M)
Capital Expenditures Growth,-,-12.99%,-46.50%,16.07%,4.14%
Capital Expenditures (Fixed Assets),(277.9M),(314M),(460M),(386.1M),(370.1M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(8.77B),(712.7M),(9.88B),(128.6M),(89.7M)
Sale of Fixed Assets & Businesses,-,3.08B,-,-,48.4M
Purchase/Sale of Investments,(25M),-,-,-,-
Purchase of Investments,(25M),-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,300K,1.9M,400K,(1.6M),1.6M
Other Sources,3.5M,5.9M,500K,3.2M,67.8M
Net Investing Cash Flow,(9.07B),2.06B,(10.34B),(513.1M),414.2M
