Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,7.78B,3.16B,14.32B,(3.84B),(2.03B)
Net Income Growth,-,-59.42%,353.83%,-126.84%,47.24%
"Depreciation, Depletion & Amortization",8.04B,8.95B,9.8B,8.98B,9.59B
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,701M,909M,(3.62B),(2B),(1.96B)
Deferred Taxes,701M,909M,(3.62B),(2B),(1.96B)
Investment Tax Credit,-,-,-,-,-
Other Funds,2.35B,3.54B,(8.19B),12.15B,11.44B
Funds from Operations,18.87B,16.56B,12.32B,15.29B,17.05B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(6.15B),(9.24B),9.77B,(18.08B),(8.08B)
Receivables,(4.46B),(4.89B),(6.56B),(1.52B),(6.8B)
Accounts Payable,47M,3.83B,7.99B,(9.38B),3.7B
Other Assets/Liabilities,156M,338M,920M,1.34B,321M
Net Operating Cash Flow,12.72B,7.31B,22.09B,(2.79B),8.97B
Net Operating Cash Flow Growth,-,-42.49%,202.01%,-112.63%,421.33%
Net Operating Cash Flow / Sales,11.24%,6.60%,16.07%,-2.40%,7.39%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(14.29B),(15.75B),(18.94B),(14.95B),(15.72B)
Capital Expenditures Growth,-,-10.22%,-20.24%,21.04%,-5.17%
Capital Expenditures / Sales,-12.64%,-14.21%,-13.78%,-12.84%,-12.97%
Capital Expenditures (Fixed Assets),(14.29B),(15.75B),(18.94B),(14.95B),(15.72B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(320M),(654M),(381M),(6.34B),(259M)
Sale of Fixed Assets & Businesses,1.3B,997M,2.47B,1.21B,1.63B
Purchase/Sale of Investments,(8.77B),577M,4.27B,20.99B,2.28B
Purchase of Investments,(21.99B),(15.23B),(8.27B),(1.76B),(329M)
Sale/Maturity of Investments,13.21B,15.81B,12.54B,22.75B,2.61B
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(22.08B),(14.83B),(12.58B),906M,(12.08B)
Net Investing Cash Flow Growth,-,32.84%,15.16%,107.20%,"-1,433.11%"
Net Investing Cash Flow / Sales,-19.53%,-13.38%,-9.15%,0.78%,-9.96%
