Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,3.63B,3.93B,2.98B,3.48B,3.24B
Net Income Growth,-,8.32%,-24.24%,16.68%,-6.76%
"Depreciation, Depletion & Amortization",3.38B,3.48B,3.58B,3.55B,3.47B
Depreciation and Depletion,2.11B,2.18B,2.22B,2.21B,2.16B
Amortization of Intangible Assets,1.27B,1.3B,1.36B,1.34B,1.31B
Deferred Taxes & Investment Tax Credit,1.27B,790M,(195M),106M,(137M)
Deferred Taxes,1.27B,790M,(195M),106M,(137M)
Investment Tax Credit,-,-,-,-,-
Other Funds,(678M),(165M),1.13B,356M,1.35B
Funds from Operations,7.6B,8.03B,7.5B,7.49B,7.92B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,2M,(1.93B),191M,(229M),(1.59B)
Receivables,-,-,-,-,-
Accounts Payable,497M,368M,98M,314M,(236M)
Other Assets/Liabilities,(495M),(2.3B),93M,(543M),(1.36B)
Net Operating Cash Flow,7.61B,6.1B,7.69B,7.26B,6.33B
Net Operating Cash Flow Growth,-,-19.80%,26.05%,-5.62%,-12.83%
Net Operating Cash Flow / Sales,26.64%,20.13%,25.35%,23.40%,21.08%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(2.82B),(2.87B),(3.91B),(2.5B),(3.16B)
Capital Expenditures Growth,-,-1.81%,-36.25%,36.06%,-26.39%
Capital Expenditures / Sales,-9.86%,-9.46%,-12.87%,-8.05%,-10.51%
Capital Expenditures (Fixed Assets),(2.14B),(2.14B),(3.03B),(1.86B),(2.41B)
Capital Expenditures (Other Assets),(671M),(723M),(877M),(641M),(742M)
Net Assets from Acquisitions,(21M),1M,(1.21B),-,-
Sale of Fixed Assets & Businesses,8M,104M,184M,69M,39M
Purchase/Sale of Investments,(310M),(157M),(203M),(213M),(1.12B)
Purchase of Investments,(310M),(157M),(203M),(213M),(1.12B)
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,116M
Net Investing Cash Flow,(3.02B),(2.78B),(5.04B),(2.6B),(4.2B)
Net Investing Cash Flow Growth,-,8.08%,-81.62%,48.47%,-61.53%
Net Investing Cash Flow / Sales,-10.58%,-9.16%,-16.61%,-8.37%,-13.98%
