Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,(301M),914M,903M,1.34B,1.43B
Funds from Operations Growth,-,403.65%,-1.20%,48.73%,6.55%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,1.69B,1.8B,675M,1.15B,3.35B
Net Operating Cash Flow Growth,-,6.94%,-62.54%,70.52%,191.40%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(250M),(225M),(248M),(242M),(282M)
Capital Expenditures Growth,-,10.00%,-10.22%,2.42%,-16.53%
Capital Expenditures (Fixed Assets),(250M),(225M),(248M),(242M),(282M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(44M),(332M),-,(1.5B),(8M)
Sale of Fixed Assets & Businesses,-,(62M),130M,-,-
Purchase/Sale of Investments,(519M),(403M),(758M),(653M),(456M)
Purchase of Investments,(1.94B),(1.66B),(2.15B),(1.7B),(1.41B)
Sale/Maturity of Investments,1.42B,1.26B,1.39B,1.05B,958M
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,-,-,(2M),2M
Other Sources,-,-,19M,-,-
Net Investing Cash Flow,(813M),(1.02B),(857M),(2.4B),(744M)
Net Investing Cash Flow Growth,-,-25.71%,16.14%,-180.16%,69.01%
