Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,135.74M,145.75M,163.19M,163.51M,185.74M
Funds from Operations Growth,-,7.37%,11.97%,0.19%,13.60%
Changes in Working Capital,19.47M,46.6M,(21.75M),(41.22M),22.61M
Receivables,-,-,-,-,-
Inventories,-,-,-,-,-
Accounts Payable,(7.2M),32.23M,(3.11M),(13.11M),(6.06M)
Other Assets/Liabilities,(5.49M),(5.72M),1.42M,1.6M,(15.34M)
Net Operating Cash Flow,155.21M,192.35M,141.45M,122.29M,208.35M
Net Operating Cash Flow Growth,-,23.93%,-26.47%,-13.54%,70.38%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(2.74M),(280.33M),(148.36M),(90.53M),(160.46M)
Capital Expenditures Growth,-,"-10,134.72%",47.08%,38.98%,-77.24%
Capital Expenditures (Fixed Assets),-,(279.7M),(149.02M),(90.53M),(160.46M)
Capital Expenditures (Other Assets),(2.74M),(631K),653K,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(387.29M),13.62M,88.76M,70.54M,-
Purchase of Investments,(387.29M),13.62M,(165.96M),-,-
Sale/Maturity of Investments,-,-,254.72M,70.54M,-
Other Uses,(810K),(6.14M),7.37M,(28.92M),20.91M
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(390.84M),(272.85M),(48.64M),(48.91M),(139.54M)
