Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,89.92M,105.16M,139.83M,95.23M,110.66M
Net Income Growth,-,16.95%,32.97%,-31.90%,16.21%
"Depreciation, Depletion & Amortization",68.11M,68.69M,67.24M,75.3M,76.42M
Depreciation and Depletion,35.14M,35.83M,37.05M,37.29M,38.82M
Amortization of Intangible Assets,32.97M,32.85M,30.19M,38.01M,37.6M
Deferred Taxes & Investment Tax Credit,18.02M,(22.65M),(10.25M),(7.56M),(7.12M)
Deferred Taxes,18.02M,(22.65M),(10.25M),(7.56M),(7.12M)
Investment Tax Credit,-,-,-,-,-
Other Funds,7.37M,24.43M,(11.62M),31.31M,21.84M
Funds from Operations,183.41M,175.62M,185.2M,194.27M,201.8M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,3.18M,(900K),44.06M,(91.64M),(52.33M)
Receivables,(10.82M),(30.37M),8.96M,(57.94M),(59.7M)
Accounts Payable,(23.01M),24.81M,33.47M,40.93M,(9.47M)
Other Assets/Liabilities,(18.58M),(1.09M),(4.94M),28.33M,15.78M
Net Operating Cash Flow,186.59M,174.72M,229.26M,102.63M,149.47M
Net Operating Cash Flow Growth,-,-6.36%,31.21%,-55.23%,45.64%
Net Operating Cash Flow / Sales,20.40%,19.50%,25.33%,11.23%,15.36%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(46.43M),(55.54M),(98.78M),(80.46M),(82.85M)
Capital Expenditures Growth,-,-19.61%,-77.86%,18.54%,-2.97%
Capital Expenditures / Sales,-5.08%,-6.20%,-10.91%,-8.80%,-8.51%
Capital Expenditures (Fixed Assets),(46.43M),(55.54M),(98.78M),(80.46M),(82.85M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(906.31M),(291.59M),(1M),-,(283.39M)
Sale of Fixed Assets & Businesses,-,-,122.69M,-,-
Purchase/Sale of Investments,(1.51M),(7.94M),(13.02M),(13.09M),(95.55M)
Purchase of Investments,(6.72M),(8.7M),(13.59M),(13.3M),(95.55M)
Sale/Maturity of Investments,5.2M,756K,572K,205K,-
Other Uses,-,-,-,(4.45M),(324K)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(954.19M),(355.05M),9.31M,(98.01M),(462.11M)
Net Investing Cash Flow Growth,-,62.79%,102.62%,"-1,153.02%",-371.52%
Net Investing Cash Flow / Sales,-104.33%,-39.63%,1.03%,-10.72%,-47.49%
