Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Net Income before Extraordinaries,267.72M,331.18M,294.67M,315.45M,294.46M
Net Income Growth,-,23.70%,-11.02%,7.05%,-6.65%
"Depreciation, Depletion & Amortization",98.13M,97.95M,98.69M,100.68M,102.38M
Depreciation and Depletion,61.7M,60.96M,61.32M,62.19M,64.91M
Amortization of Intangible Assets,36.43M,36.99M,37.37M,38.49M,37.47M
Deferred Taxes & Investment Tax Credit,(5.98M),22.89M,7.05M,12.71M,9.46M
Deferred Taxes,(5.98M),22.89M,7.05M,12.71M,9.46M
Investment Tax Credit,-,-,-,-,-
Other Funds,33.56M,24.32M,24.45M,(7.36M),25.62M
Funds from Operations,393.43M,476.33M,424.86M,421.49M,431.92M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,62.5M,(214.19M),(93.22M),(28.21M),118.65M
Receivables,30.6M,(27.74M),(49.6M),(21.88M),(1.17M)
Accounts Payable,(7.72M),(26.27M),37.67M,(5.23M),16.53M
Other Assets/Liabilities,(55.02M),(76M),(41.49M),(37.54M),15.12M
Net Operating Cash Flow,455.93M,262.14M,331.64M,393.27M,550.57M
Net Operating Cash Flow Growth,-,-42.50%,26.51%,18.58%,40.00%
Net Operating Cash Flow / Sales,24.84%,13.82%,17.25%,20.06%,26.54%
Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Capital Expenditures,(43.06M),(48.75M),(59.88M),(57.22M),(74.82M)
Capital Expenditures Growth,-,-13.21%,-22.84%,4.44%,-30.76%
Capital Expenditures / Sales,-2.35%,-2.57%,-3.12%,-2.92%,-3.61%
Capital Expenditures (Fixed Assets),(43.06M),(48.75M),(59.88M),(57.22M),(74.82M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(2.47M),(35.73M),(9.95M),(105.17M),(13.38M)
Sale of Fixed Assets & Businesses,(785K),-,15.35M,-,-
Purchase/Sale of Investments,3.57M,(8.74M),2.77M,(57K),(52K)
Purchase of Investments,3.57M,(8.74M),2.77M,(57K),(52K)
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(5.81M),(6.18M),(496K),(2.26M),1.93M
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(48.55M),(84.32M),(67.27M),(164.72M),(86.32M)
Net Investing Cash Flow Growth,-,-73.68%,20.22%,-144.84%,47.59%
Net Investing Cash Flow / Sales,-2.64%,-4.45%,-3.50%,-8.40%,-4.16%
