Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,179M,22M,305M,394M,37M
Net Income Growth,-,-87.71%,"1,286.36%",29.18%,-90.61%
"Depreciation, Depletion & Amortization",394M,359M,381M,361M,374M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,27M,(104M),4M,18M,(18M)
Deferred Taxes,27M,(104M),4M,18M,(18M)
Investment Tax Credit,-,-,-,-,-
Other Funds,37M,364M,7M,6M,3M
Funds from Operations,637M,641M,697M,779M,396M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,229M,(185M),5M,31M,(60M)
Receivables,(22M),(93M),(138M),18M,(346M)
Accounts Payable,132M,113M,83M,(42M),405M
Other Assets/Liabilities,224M,(49M),4M,(74M),7M
Net Operating Cash Flow,866M,456M,702M,810M,336M
Net Operating Cash Flow Growth,-,-47.34%,53.95%,15.38%,-58.52%
Net Operating Cash Flow / Sales,26.17%,11.83%,15.68%,16.83%,6.97%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(1.21B),(826M),(1.07B),(764M),(767M)
Capital Expenditures Growth,-,31.45%,-29.78%,28.73%,-0.39%
Capital Expenditures / Sales,-36.42%,-21.42%,-23.94%,-15.88%,-15.91%
Capital Expenditures (Fixed Assets),(1.21B),(826M),(1.07B),(764M),(767M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,11M,13M,10M,1M,1M
Purchase/Sale of Investments,(5M),3M,(1M),(3M),(7M)
Purchase of Investments,(371M),(214M),(194M),(210M),(313M)
Sale/Maturity of Investments,366M,217M,193M,207M,306M
Other Uses,(21M),(29M),(18M),(17M),(20M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.22B),(839M),(1.08B),(783M),(793M)
Net Investing Cash Flow Growth,-,31.23%,-28.84%,27.57%,-1.28%
Net Investing Cash Flow / Sales,-36.87%,-21.76%,-24.15%,-16.27%,-16.45%
