Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,217.2M,202.1M,175.3M,180.9M,192M
Net Income Growth,-,-6.95%,-13.26%,3.19%,6.14%
"Depreciation, Depletion & Amortization",57.7M,57.1M,58.4M,57.8M,58.2M
Depreciation and Depletion,41.7M,41.2M,42.8M,41.8M,42.1M
Amortization of Intangible Assets,16M,15.9M,15.6M,16M,16.1M
Deferred Taxes & Investment Tax Credit,7.2M,2.5M,(7.9M),5.7M,(6.2M)
Deferred Taxes,7.2M,2.5M,(7.9M),5.7M,(6.2M)
Investment Tax Credit,-,-,-,-,-
Other Funds,14.7M,13.7M,16.9M,7M,42.4M
Funds from Operations,296.8M,275.4M,242.7M,251.4M,286.4M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,35.1M,(107.3M),15.2M,(434.5M),(61.4M)
Receivables,(14.4M),(145.2M),99.7M,(118.1M),7.3M
Accounts Payable,94.6M,37.8M,21.2M,(37.2M),36.2M
Other Assets/Liabilities,11.4M,(1.1M),1.6M,(27.1M),10M
Net Operating Cash Flow,331.9M,168.1M,257.9M,(183.1M),225M
Net Operating Cash Flow Growth,-,-49.35%,53.42%,-171.00%,222.88%
Net Operating Cash Flow / Sales,17.14%,8.46%,13.14%,-9.55%,10.66%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(40.4M),(47.2M),(101.2M),(60.8M),(54.8M)
Capital Expenditures Growth,-,-16.83%,-114.41%,39.92%,9.87%
Capital Expenditures / Sales,-2.09%,-2.38%,-5.16%,-3.17%,-2.60%
Capital Expenditures (Fixed Assets),(40.4M),(47.2M),(101.2M),(60.8M),(54.8M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,(61.6M),-
Sale of Fixed Assets & Businesses,-,-,200K,8M,-
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(40.4M),(47.2M),(101M),(114.4M),(54.8M)
Net Investing Cash Flow Growth,-,-16.83%,-113.98%,-13.27%,52.10%
Net Investing Cash Flow / Sales,-2.09%,-2.38%,-5.15%,-5.97%,-2.60%
