Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,123.53M,119.9M,118.74M,125.09M,135.64M
Funds from Operations Growth,-,-2.93%,-0.97%,5.35%,8.44%
Changes in Working Capital,9.42M,(340K),(12.32M),(21.5M),24.96M
Receivables,3.81M,161K,(3.64M),(11.26M),1.01M
Inventories,-,-,-,-,-
Accounts Payable,(5.85M),13.36M,(8.72M),(5.42M),(159K)
Other Assets/Liabilities,11.45M,(13.86M),48K,(4.82M),24.11M
Net Operating Cash Flow,132.95M,119.56M,106.42M,103.59M,160.6M
Net Operating Cash Flow Growth,-,-10.07%,-10.99%,-2.66%,55.04%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(133.91M),(113.9M),(108.99M),(85.02M),(109.53M)
Capital Expenditures Growth,-,14.94%,4.31%,21.99%,-28.83%
Capital Expenditures (Fixed Assets),(133.91M),(113.9M),(108.99M),(85.02M),(109.53M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,104K,-,29K,-,-
Purchase/Sale of Investments,(295.76M),(33.89M),117.52M,885K,(100.43M)
Purchase of Investments,(326.88M),(33.89M),(458K),-,(100.44M)
Sale/Maturity of Investments,31.12M,-,117.98M,885K,7K
Other Uses,(6.31M),(4.81M),(7.91M),(4.58M),(5.05M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(435.88M),(152.61M),651K,(88.71M),(215.01M)
