Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,-,-,-,-,-
Funds from Operations Growth,-,-,-,-,-
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,330.21M,357.98M,377.66M,397.13M,296.26M
Net Operating Cash Flow Growth,-,8.41%,5.50%,5.16%,-25.40%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(8.2M),(7M),(7.51M),(6.98M),(6.65M)
Capital Expenditures Growth,-,14.58%,-7.30%,7.09%,4.80%
Capital Expenditures (Fixed Assets),(8.2M),(7M),(7.51M),(6.98M),(6.65M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(397.52M),112.35M,(279.1M),(268.34M),(125.96M)
Purchase of Investments,(470.04M),(90.27M),(389.81M),(491.35M),(475.97M)
Sale/Maturity of Investments,72.52M,202.62M,110.7M,223.01M,350.01M
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,(59.2M),2.5M,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(405.72M),46.15M,(284.12M),(275.32M),(132.61M)
Net Investing Cash Flow Growth,-,111.37%,-715.66%,3.09%,51.84%
