Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,809M,464M,734M,718M,908M
Funds from Operations Growth,-,-42.65%,58.19%,-2.18%,26.46%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,838M,1.29B,1.2B,429M,974M
Net Operating Cash Flow Growth,-,54.18%,-6.81%,-64.37%,127.04%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(24M),(45M),(41M),(31M),(46M)
Capital Expenditures Growth,-,-87.50%,8.89%,24.39%,-48.39%
Capital Expenditures (Fixed Assets),(24M),(45M),(41M),(31M),(46M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,11M,-,-
Purchase/Sale of Investments,(109M),(1.08B),(570M),155M,293M
Purchase of Investments,(6.91B),(6.39B),(7.49B),(7.22B),(4.83B)
Sale/Maturity of Investments,6.8B,5.32B,6.92B,7.37B,5.13B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,(13M),(47M),(103M),-,-
Other Sources,(1M),-,58M,2M,14M
Net Investing Cash Flow,(147M),(1.17B),(645M),126M,261M
Net Investing Cash Flow Growth,-,-693.88%,44.73%,119.53%,107.14%
