Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,271.24M,148.87M,209.36M,172.52M,204.93M
Net Income Growth,-,-45.12%,40.64%,-17.60%,18.79%
"Depreciation, Depletion & Amortization",70.69M,71.38M,70.62M,66.3M,65.08M
Depreciation and Depletion,44.54M,44.27M,44.79M,41.15M,40.33M
Amortization of Intangible Assets,26.15M,27.11M,25.83M,25.15M,24.75M
Deferred Taxes & Investment Tax Credit,(1.59M),(1.85M),(42.02M),(7.5M),10.76M
Deferred Taxes,(1.59M),(1.85M),(42.02M),(7.5M),10.76M
Investment Tax Credit,-,-,-,-,-
Other Funds,31.2M,20.15M,59.48M,27.24M,26.57M
Funds from Operations,371.53M,238.55M,297.44M,258.55M,307.33M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,203.81M,106.49M,(62.65M),(90.76M),108.28M
Receivables,78.46M,124.89M,(402.89M),30.7M,128.4M
Accounts Payable,60.17M,90.36M,243.2M,(321M),(83.89M)
Other Assets/Liabilities,65.18M,(108.77M),97.03M,199.54M,63.77M
Net Operating Cash Flow,575.35M,345.04M,234.79M,167.79M,415.61M
Net Operating Cash Flow Growth,-,-40.03%,-31.95%,-28.54%,147.70%
Net Operating Cash Flow / Sales,49.29%,29.84%,17.97%,13.29%,30.19%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(11.96M),(14.19M),(21.16M),(17.29M),(21.09M)
Capital Expenditures Growth,-,-18.67%,-49.14%,18.29%,-21.97%
Capital Expenditures / Sales,-1.02%,-1.23%,-1.62%,-1.37%,-1.53%
Capital Expenditures (Fixed Assets),(11.96M),(14.19M),(21.16M),(17.29M),(21.09M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(22.77M),(256K),91K,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(34.73M),(14.45M),(18.77M),(17.29M),(21.09M)
Net Investing Cash Flow Growth,-,58.40%,-29.90%,7.85%,-21.97%
Net Investing Cash Flow / Sales,-2.98%,-1.25%,-1.44%,-1.37%,-1.53%
