Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,413M,479M,484M,475M,470M
Net Income Growth,-,15.98%,1.04%,-1.86%,-1.05%
"Depreciation, Depletion & Amortization",233M,239M,244M,232M,233M
Depreciation and Depletion,-,84M,92M,80M,82M
Amortization of Intangible Assets,-,155M,152M,152M,151M
Deferred Taxes & Investment Tax Credit,(129M),49M,(12M),(162M),(164M)
Deferred Taxes,(129M),49M,(12M),(162M),(164M)
Investment Tax Credit,-,-,-,-,-
Other Funds,(4M),(32M),(47M),(18M),(10M)
Funds from Operations,513M,735M,669M,527M,529M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,207M,(251M),153M,(488M),220M
Receivables,(317M),(6M),(221M),(332M),161M
Accounts Payable,54M,201M,160M,(43M),(1M)
Other Assets/Liabilities,230M,(108M),61M,(42M),38M
Net Operating Cash Flow,720M,484M,822M,39M,749M
Net Operating Cash Flow Growth,-,-32.78%,69.83%,-95.26%,"1,820.51%"
Net Operating Cash Flow / Sales,15.42%,11.44%,18.90%,0.95%,18.11%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(64M),(79M),(135M),(55M),(62M)
Capital Expenditures Growth,-,-23.44%,-70.89%,59.26%,-12.73%
Capital Expenditures / Sales,-1.37%,-1.87%,-3.10%,-1.34%,-1.50%
Capital Expenditures (Fixed Assets),(64M),(79M),(135M),(55M),(62M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,1.43B,171M,141M,-,6M
Purchase/Sale of Investments,-,-,-,-,(30M)
Purchase of Investments,-,-,-,-,(30M)
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,(10M),(9M),9M
Other Sources,-,-,-,-,-
Net Investing Cash Flow,1.37B,93M,(6M),(64M),(57M)
Net Investing Cash Flow Growth,-,-93.20%,-106.45%,-966.67%,10.94%
Net Investing Cash Flow / Sales,29.31%,2.20%,-0.14%,-1.56%,-1.38%
