Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Net Income before Extraordinaries,65.5M,29.8M,32.5M,106.6M,32M
Net Income Growth,-,-54.50%,9.06%,228.00%,-69.98%
"Depreciation, Depletion & Amortization",44.2M,46M,46.2M,46.6M,48.5M
Depreciation and Depletion,42.8M,44.5M,44.7M,45.3M,47M
Amortization of Intangible Assets,1.4M,1.5M,1.5M,1.3M,1.5M
Deferred Taxes & Investment Tax Credit,2.8M,1.7M,2.6M,9.9M,(700K)
Deferred Taxes,2.8M,1.7M,2.6M,9.9M,(700K)
Investment Tax Credit,-,-,-,-,-
Other Funds,2.5M,11.5M,51.4M,(20.6M),60M
Funds from Operations,115M,89M,132.7M,142.5M,139.8M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,63.4M,72.8M,(87M),(176M),104.3M
Receivables,9.4M,(35.1M),(22.6M),(6.4M),(12.2M)
Accounts Payable,43.8M,10M,84.7M,(98.5M),20.3M
Other Assets/Liabilities,(29.9M),42.7M,18.9M,(60.8M),4M
Net Operating Cash Flow,178.4M,161.8M,45.7M,(33.5M),244.1M
Net Operating Cash Flow Growth,-,-9.30%,-71.76%,-173.30%,828.66%
Net Operating Cash Flow / Sales,17.71%,16.44%,4.54%,-3.51%,21.17%
Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Capital Expenditures,(56.6M),(78.9M),(69.2M),(78.9M),(79.4M)
Capital Expenditures Growth,-,-39.40%,12.29%,-14.02%,-0.63%
Capital Expenditures / Sales,-5.62%,-8.02%,-6.87%,-8.26%,-6.89%
Capital Expenditures (Fixed Assets),(55.1M),(78.9M),(68.2M),(70.7M),(72.3M)
Capital Expenditures (Other Assets),(1.5M),-,(1M),(8.2M),(7.1M)
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,(4.1M)
Other Sources,1.4M,-,-,-,-
Net Investing Cash Flow,(56.3M),(78.8M),(68.8M),(78.6M),(84.3M)
Net Investing Cash Flow Growth,-,-39.96%,12.69%,-14.24%,-7.25%
Net Investing Cash Flow / Sales,-5.59%,-8.01%,-6.83%,-8.23%,-7.31%
