Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,1.08B,1.26B,1.01B,861M,748M
Net Income Growth,-,16.96%,-20.36%,-14.33%,-13.12%
"Depreciation, Depletion & Amortization",280M,273M,276M,275M,273M
Depreciation and Depletion,248M,241M,244M,243M,241M
Amortization of Intangible Assets,32M,32M,32M,32M,32M
Deferred Taxes & Investment Tax Credit,58M,67M,46M,(70M),38M
Deferred Taxes,58M,67M,46M,(70M),38M
Investment Tax Credit,-,-,-,-,-
Other Funds,(424M),(262M),(305M),199M,127M
Funds from Operations,993M,1.34B,1.02B,1.27B,1.19B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(116M),(412M),399M,(134M),(350M)
Receivables,536M,(459M),220M,(517M),290M
Accounts Payable,(101M),238M,282M,397M,(214M)
Other Assets/Liabilities,(299M),(138M),(275M),67M,(141M)
Net Operating Cash Flow,877M,928M,1.42B,1.13B,836M
Net Operating Cash Flow Growth,-,5.82%,53.13%,-20.41%,-26.08%
Net Operating Cash Flow / Sales,13.20%,12.92%,18.56%,14.57%,11.49%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(194M),(229M),(326M),(167M),(218M)
Capital Expenditures Growth,-,-18.04%,-42.36%,48.77%,-30.54%
Capital Expenditures / Sales,-2.92%,-3.19%,-4.26%,-2.15%,-3.00%
Capital Expenditures (Fixed Assets),(194M),(229M),(326M),(167M),(218M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(343M),-,-,(1.42B),16M
Sale of Fixed Assets & Businesses,-,-,233M,-,-
Purchase/Sale of Investments,998M,500M,41M,66M,529M
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,998M,500M,41M,66M,529M
Other Uses,-,-,-,-,-
Other Sources,76M,(127M),-,60M,26M
Net Investing Cash Flow,470M,326M,(132M),(1.44B),442M
Net Investing Cash Flow Growth,-,-30.64%,-140.49%,-991.67%,130.67%
Net Investing Cash Flow / Sales,7.08%,4.54%,-1.72%,-18.56%,6.08%
