Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,1.57B,2.22B,2.34B,2.23B,2.73B
Net Income Growth,-,41.48%,5.26%,-4.83%,22.46%
"Depreciation, Depletion & Amortization",203.4M,218.93M,241.29M,236.89M,247.65M
Depreciation and Depletion,182.67M,184.13M,188.79M,195.48M,201.79M
Amortization of Intangible Assets,20.73M,34.8M,52.5M,41.41M,45.86M
Deferred Taxes & Investment Tax Credit,39.66M,64.38M,(155.08M),(18.76M),(17.46M)
Deferred Taxes,39.66M,64.38M,(155.08M),(18.76M),(17.46M)
Investment Tax Credit,-,-,-,-,-
Other Funds,71.78M,(1.52M),11.35M,20.23M,41.47M
Funds from Operations,1.89B,2.51B,2.44B,2.47B,3B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(533.52M),(767.87M),172.72M,6.7M,(737.33M)
Receivables,(568.45M),(529.65M),230.58M,(92.39M),(556.18M)
Accounts Payable,501.32M,(383.64M),40.41M,(165.48M),363.54M
Other Assets/Liabilities,6.75M,26.16M,19.19M,126.5M,(29.32M)
Net Operating Cash Flow,1.35B,1.74B,2.61B,2.47B,2.26B
Net Operating Cash Flow Growth,-,28.42%,50.27%,-5.30%,-8.52%
Net Operating Cash Flow / Sales,15.39%,16.84%,25.19%,23.56%,19.17%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(388.87M),(504.71M),(414.9M),(447.68M),(521.11M)
Capital Expenditures Growth,-,-29.79%,17.79%,-7.90%,-16.40%
Capital Expenditures / Sales,-4.42%,-4.89%,-4.00%,-4.27%,-4.42%
Capital Expenditures (Fixed Assets),(388.87M),(504.71M),(414.9M),(447.68M),(521.11M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,300K,(1.35B),(79.82M),(347.18M),(3.12B)
Sale of Fixed Assets & Businesses,4.63M,4.92M,3.82M,7.29M,8.71M
Purchase/Sale of Investments,4.19M,151.14M,(5.8M),(193.93M),83.42M
Purchase of Investments,(143.54M),(36.25M),(99.79M),(274.26M),(56.25M)
Sale/Maturity of Investments,147.74M,187.39M,93.99M,80.33M,139.66M
Other Uses,-,-,-,(183K),(6.91M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(379.41M),(1.7B),(497.34M),(981.68M),(3.55B)
Net Investing Cash Flow Growth,-,-346.78%,70.66%,-97.39%,-262.09%
Net Investing Cash Flow / Sales,-4.32%,-16.44%,-4.80%,-9.36%,-30.14%
