Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Net Income before Extraordinaries,263M,333.6M,332.1M,430.7M,296.4M
Net Income Growth,-,26.84%,-0.45%,29.69%,-31.18%
"Depreciation, Depletion & Amortization",47.4M,45.7M,48.6M,48.4M,49.1M
Depreciation and Depletion,31.3M,30.7M,32.5M,34.9M,35.6M
Amortization of Intangible Assets,16.1M,15M,16.1M,13.5M,13.5M
Deferred Taxes & Investment Tax Credit,(14.4M),11.5M,(6M),(2.2M),(1M)
Deferred Taxes,(14.4M),11.5M,(6M),(2.2M),(1M)
Investment Tax Credit,-,-,-,-,-
Other Funds,67.2M,65.7M,76M,71.1M,81.3M
Funds from Operations,363.2M,456.5M,450.7M,548M,425.8M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,26.5M,(70.9M),(280.9M),64.9M,(88.6M)
Receivables,55.9M,(27.3M),(291.4M),166.6M,(122.8M)
Accounts Payable,41M,(29.1M),124.1M,(41.6M),98.4M
Other Assets/Liabilities,(70.4M),(14.5M),(113.6M),(60.1M),(64.2M)
Net Operating Cash Flow,389.7M,385.6M,169.8M,612.9M,337.2M
Net Operating Cash Flow Growth,-,-1.05%,-55.96%,260.95%,-44.98%
Net Operating Cash Flow / Sales,37.86%,35.61%,15.32%,48.03%,29.47%
Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Capital Expenditures,(32.8M),(31.7M),(39.6M),(38.3M),(33.6M)
Capital Expenditures Growth,-,3.35%,-24.92%,3.28%,12.27%
Capital Expenditures / Sales,-3.19%,-2.93%,-3.57%,-3.00%,-2.94%
Capital Expenditures (Fixed Assets),(27.7M),(30.4M),(34.2M),(34.7M),(33.3M)
Capital Expenditures (Other Assets),(5.1M),(1.3M),(5.4M),(3.6M),(300K)
Net Assets from Acquisitions,-,-,(24.9M),-,-
Sale of Fixed Assets & Businesses,(3.8M),-,-,-,-
Purchase/Sale of Investments,176.3M,9.4M,(364.6M),(678.4M),(219.2M)
Purchase of Investments,(1.14B),(247.5M),(1.64B),(5.56B),(10.36B)
Sale/Maturity of Investments,1.32B,256.9M,1.28B,4.88B,10.14B
Other Uses,-,-,-,-,-
Other Sources,(458.5M),32.4M,135.5M,496.2M,(520.9M)
Net Investing Cash Flow,139.7M,(22.3M),(429.1M),(716.7M),(252.8M)
Net Investing Cash Flow Growth,-,-115.96%,"-1,824.22%",-67.02%,64.73%
Net Investing Cash Flow / Sales,13.57%,-2.06%,-38.71%,-56.17%,-22.09%
