Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,1.91B,1.58B,1.82B,797M,818M
Funds from Operations Growth,-,-17.26%,15.30%,-56.30%,2.63%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,4.36B,5.42B,3.33B,1M,1.5B
Net Operating Cash Flow Growth,-,24.27%,-38.47%,-99.97%,"150,000.00%"
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,-,-,-,-,-
Capital Expenditures Growth,-,-,-,-,-
Capital Expenditures (Fixed Assets),-,-,-,-,-
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,132M,-,-,-,422M
Purchase/Sale of Investments,(3.37B),(2.18B),(5.87B),466M,(4.19B)
Purchase of Investments,(32B),(34.27B),(41.96B),(38.12B),(33.87B)
Sale/Maturity of Investments,28.63B,32.08B,36.09B,38.59B,29.68B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,(79M),(382M),(65M),-,-
Other Sources,-,-,-,29M,30M
Net Investing Cash Flow,(3.31B),(2.57B),(5.94B),495M,(3.74B)
Net Investing Cash Flow Growth,-,22.60%,-131.54%,108.33%,-854.55%
