Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,438.66M,(44.71M),417.54M,618.61M,404.01M
Funds from Operations Growth,-,-110.19%,"1,033.81%",48.16%,-34.69%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,783.78M,1.27B,1.08B,1.01B,757.54M
Net Operating Cash Flow Growth,-,61.62%,-14.47%,-6.86%,-24.93%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,-,-,-,-,-
Capital Expenditures Growth,-,-,-,-,-
Capital Expenditures (Fixed Assets),-,-,-,-,-
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(727.34M),(999.57M),(1.78B),(630.45M),(353.66M)
Purchase of Investments,(2.57B),(2.16B),(3.94B),(2.34B),(2.39B)
Sale/Maturity of Investments,1.84B,1.16B,2.16B,1.71B,2.04B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,(9.92M),(73.73M),(25.76M),-,-
Other Sources,-,-,-,46.4M,(23.89M)
Net Investing Cash Flow,(737.25M),(1.07B),(1.81B),(584.05M),(377.54M)
Net Investing Cash Flow Growth,-,-45.58%,-68.44%,67.69%,35.36%
