Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,149.21M,170.87M,167.94M,168.24M,175.82M
Net Income Growth,-,14.51%,-1.71%,0.18%,4.51%
"Depreciation, Depletion & Amortization",14.33M,13.39M,12.19M,11.5M,12.24M
Depreciation and Depletion,13.75M,12.82M,11.67M,11.08M,11.83M
Amortization of Intangible Assets,576K,572K,517K,417K,416K
Deferred Taxes & Investment Tax Credit,(8.11M),(27.25M),11.64M,5.49M,928K
Deferred Taxes,(8.11M),(27.25M),11.64M,5.49M,928K
Investment Tax Credit,-,-,-,-,-
Other Funds,(6.38M),30.34M,16.5M,54.66M,91.29M
Funds from Operations,149.05M,187.35M,208.28M,239.89M,280.28M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,16.36M,37.45M,(63.41M),(170.73M),(47.36M)
Receivables,(106.58M),(107.22M),16.2M,(89.6M),(40.39M)
Accounts Payable,23.74M,15M,20.47M,(14.07M),5.7M
Other Assets/Liabilities,47.17M,12.44M,5.01M,(22.96M),816K
Net Operating Cash Flow,165.42M,224.79M,144.87M,69.16M,232.92M
Net Operating Cash Flow Growth,-,35.90%,-35.55%,-52.26%,236.77%
Net Operating Cash Flow / Sales,10.47%,13.13%,8.19%,3.81%,12.50%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(6.38M),(8.68M),(11.81M),(14.99M),(20.29M)
Capital Expenditures Growth,-,-36.20%,-36.06%,-26.86%,-35.37%
Capital Expenditures / Sales,-0.40%,-0.51%,-0.67%,-0.83%,-1.09%
Capital Expenditures (Fixed Assets),(6.38M),(8.68M),(11.81M),(14.99M),(20.29M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(13.91M),(13.52M),(29.49M),(33.91M),(11.15M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(15.66M),(18.69M),(37.81M),(27.12M),(28.08M)
Net Investing Cash Flow Growth,-,-19.29%,-102.36%,28.28%,-3.54%
Net Investing Cash Flow / Sales,-0.99%,-1.09%,-2.14%,-1.49%,-1.51%
