Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,25.53M,44.17M,54.78M,39.98M,39.95M
Net Income Growth,-,73.01%,24.03%,-27.01%,-0.10%
"Depreciation, Depletion & Amortization",39.88M,43.9M,40.96M,41.23M,39.74M
Depreciation and Depletion,(336.19M),369.65M,14.21M,13.3M,12.1M
Amortization of Intangible Assets,376.07M,(325.74M),26.75M,27.94M,27.64M
Deferred Taxes & Investment Tax Credit,(3.16M),(9.25M),2.41M,(9.44M),(9.7M)
Deferred Taxes,(3.16M),(9.25M),2.41M,(9.44M),(9.7M)
Investment Tax Credit,-,-,-,-,-
Other Funds,27.66M,25.43M,27.2M,25.22M,25.8M
Funds from Operations,89.91M,104.25M,125.35M,97M,95.79M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(107.53M),100.68M,(7.29M),(40.39M),(15.66M)
Receivables,(92.89M),65.61M,1.29M,40.15M,(97.96M)
Accounts Payable,(55.18M),(6.91M),19.44M,6.29M,2.84M
Other Assets/Liabilities,61.79M,6.95M,1.62M,(56.19M),73.55M
Net Operating Cash Flow,(17.63M),204.93M,118.06M,56.61M,80.13M
Net Operating Cash Flow Growth,-,"1,262.72%",-42.39%,-52.05%,41.54%
Net Operating Cash Flow / Sales,-4.36%,44.56%,27.23%,12.41%,17.10%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(13.13M),(12.57M),(19.88M),(12.53M),(16.69M)
Capital Expenditures Growth,-,4.30%,-58.17%,36.98%,-33.27%
Capital Expenditures / Sales,-3.25%,-2.73%,-4.58%,-2.75%,-3.56%
Capital Expenditures (Fixed Assets),(7.66M),(6.55M),(13.15M),(4.58M),(8.18M)
Capital Expenditures (Other Assets),(5.47M),(6.02M),(6.73M),(7.95M),(8.52M)
Net Assets from Acquisitions,(1.99B),(89.49M),(1.31M),(116.7M),(615K)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,41.07M,15.54M,15.12M,18.08M,17.92M
Purchase of Investments,(15.3M),(7.63M),(1.77M),(4.59M),-
Sale/Maturity of Investments,56.36M,23.17M,16.89M,22.67M,17.92M
Other Uses,-,-,-,(29K),29K
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.96B),(86.1M),(6.15M),(111.17M),795K
Net Investing Cash Flow Growth,-,95.61%,92.86%,"-1,708.57%",100.72%
Net Investing Cash Flow / Sales,-484.81%,-18.72%,-1.42%,-24.37%,0.17%
