Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,147.77M,156.62M,330.08M,157.5M,167.3M
Net Income Growth,-,5.99%,110.75%,-52.28%,6.22%
"Depreciation, Depletion & Amortization",12M,12.03M,12.33M,11.9M,11.9M
Depreciation and Depletion,12M,12.03M,12.33M,11.9M,11.9M
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,-,-,-,-,-
Deferred Taxes,-,-,-,-,-
Investment Tax Credit,-,-,-,-,-
Other Funds,16.86M,15.44M,13.04M,14.8M,14.6M
Funds from Operations,176.64M,184.09M,355.45M,184.2M,193.8M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(34.13M),75.97M,(149.21M),22.9M,(48.9M)
Receivables,-,-,-,-,-
Accounts Payable,(29.17M),31.26M,21.02M,(14.9M),(27M)
Other Assets/Liabilities,(4.95M),44.71M,(170.23M),37.8M,(21.9M)
Net Operating Cash Flow,142.51M,260.07M,206.24M,207.1M,144.9M
Net Operating Cash Flow Growth,-,82.49%,-20.70%,0.42%,-30.03%
Net Operating Cash Flow / Sales,43.26%,77.81%,60.60%,59.70%,41.18%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(17.55M),(15.27M),(13.5M),(6.6M),(6.2M)
Capital Expenditures Growth,-,13.01%,11.59%,51.10%,6.06%
Capital Expenditures / Sales,-5.33%,-4.57%,-3.97%,-1.90%,-1.76%
Capital Expenditures (Fixed Assets),(17.55M),(15.27M),(13.5M),(6.6M),(6.2M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,27.87M,(34.94M),(40.66M),531.1M,61.1M
Purchase of Investments,(661.23M),(798.14M),(448.97M),(164.9M),(300.3M)
Sale/Maturity of Investments,689.1M,763.2M,408.31M,696M,361.4M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,10.32M,(50.21M),(54.15M),524.5M,54.9M
Net Investing Cash Flow Growth,-,-586.52%,-7.86%,"1,068.55%",-89.53%
Net Investing Cash Flow / Sales,3.13%,-15.02%,-15.91%,151.20%,15.60%
