Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,322M,173M,632M,392M,407M
Net Income Growth,-,-46.27%,265.32%,-37.97%,3.83%
"Depreciation, Depletion & Amortization",463M,487M,454M,498M,506M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,118M,51M,196M,115M,(25M)
Deferred Taxes,118M,51M,196M,115M,(25M)
Investment Tax Credit,-,-,-,-,-
Other Funds,53M,410M,(187M),220M,295M
Funds from Operations,956M,1.12B,1.1B,1.23B,1.18B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,101M,(287M),44M,(143M),(85M)
Receivables,9M,(488M),(7M),(3M),(794M)
Accounts Payable,56M,476M,73M,(138M),828M
Other Assets/Liabilities,(44M),(274M),(1M),(31M),(67M)
Net Operating Cash Flow,1.06B,834M,1.14B,1.08B,1.1B
Net Operating Cash Flow Growth,-,-21.10%,36.57%,-5.00%,1.48%
Net Operating Cash Flow / Sales,46.42%,33.97%,35.26%,42.87%,44.10%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(429M),(262M),(295M),(297M),(320M)
Capital Expenditures Growth,-,38.93%,-12.60%,-0.68%,-7.74%
Capital Expenditures / Sales,-18.84%,-10.67%,-9.13%,-11.77%,-12.85%
Capital Expenditures (Fixed Assets),(429M),(262M),(295M),(297M),(320M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(126M),(25M),-,(933M)
Sale of Fixed Assets & Businesses,4M,-,3M,3M,5M
Purchase/Sale of Investments,(29M),(35M),(36M),(56M),(44M)
Purchase of Investments,(30M),(35M),(36M),(56M),(44M)
Sale/Maturity of Investments,1M,-,-,-,-
Other Uses,(2M),3M,(5M),(7M),(1M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(439M),(408M),(354M),(357M),(1.29B)
Net Investing Cash Flow Growth,-,7.06%,13.24%,-0.85%,-260.50%
Net Investing Cash Flow / Sales,-19.28%,-16.62%,-10.96%,-14.14%,-51.69%
