Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,311M,609M,315M,380M,328M
Net Income Growth,-,95.82%,-48.28%,20.63%,-13.68%
"Depreciation, Depletion & Amortization",552M,584M,574M,597M,674M
Depreciation and Depletion,552M,584M,574M,597M,674M
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,(44M),58M,(70M),(55M),(80M)
Deferred Taxes,(44M),58M,(70M),(55M),(80M)
Investment Tax Credit,-,-,-,-,-
Other Funds,(3M),1M,(146M),3M,2M
Funds from Operations,816M,1.25B,673M,925M,924M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(191M),(162M),(63M),215M,(76M)
Receivables,(115M),(45M),(219M),(45M),18M
Accounts Payable,6M,76M,77M,(34M),171M
Other Assets/Liabilities,(50M),(104M),123M,187M,(114M)
Net Operating Cash Flow,625M,1.09B,610M,1.14B,848M
Net Operating Cash Flow Growth,-,74.40%,-44.04%,86.89%,-25.61%
Net Operating Cash Flow / Sales,20.45%,31.45%,18.26%,30.25%,24.82%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(943M),(1.07B),(1.21B),(942M),(1.1B)
Capital Expenditures Growth,-,-12.94%,-13.80%,22.28%,-16.56%
Capital Expenditures / Sales,-30.86%,-30.73%,-36.28%,-25.00%,-32.13%
Capital Expenditures (Fixed Assets),(943M),(1.07B),(1.21B),(942M),(1.1B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(213M),209M,(5M),(9M),(9M)
Purchase of Investments,(429M),88M,(217M),(156M),(631M)
Sale/Maturity of Investments,216M,121M,212M,147M,622M
Other Uses,(11M),(7M),(5M),(1M),1M
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.17B),(863M),(1.22B),(952M),(1.1B)
Net Investing Cash Flow Growth,-,26.05%,-41.60%,22.09%,-15.86%
Net Investing Cash Flow / Sales,-38.19%,-24.90%,-36.58%,-25.27%,-32.28%
