Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,13.26B,13.42B,14.97B,15.05B,16.16B
Sales Growth,-,1.17%,11.52%,0.54%,7.39%
Cost of Goods Sold (COGS) incl. D&A,8.83B,8.92B,10.02B,10.5B,10.82B
COGS Growth,-,1.05%,12.36%,4.78%,3.02%
COGS excluding D&A,8.35B,8.43B,9.52B,9.97B,10.29B
Depreciation & Amortization Expense,478.99M,486.28M,500.87M,528.26M,524.19M
Depreciation,319.59M,339.68M,331.12M,344.1M,345.91M
Amortization of Intangibles,93.98M,77.77M,102.54M,115.83M,109.86M
Gross Income,4.44B,4.5B,4.94B,4.55B,5.34B
Gross Income Growth,-,1.42%,9.86%,-8.04%,17.49%
Gross Profit Margin,-,-,-,-,33.06%
SG&A Expense,2.29B,2.51B,2.48B,2.46B,2.71B
SGA Growth,-,9.70%,-1.00%,-0.81%,10.12%
Research & Development,-,-,-,-,-
Other SG&A,2.29B,2.51B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,(33.51M),(71.98M),(50.76M),(30.14M),(132.62M)
Non-Operating Interest Income,4.55M,9.72M,6.05M,7.27M,8.73M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,28.74M,12.98M,11.18M,11.22M,12.05M
Interest Expense Growth,-,-54.85%,-13.82%,0.30%,7.44%
Gross Interest Expense,28.74M,12.98M,11.18M,11.22M,12.05M
Interest Capitalized,-,-,-,-,-
Pretax Income,2.09B,1.92B,2.41B,2.05B,2.49B
Pretax Income Growth,-,-8.41%,25.46%,-14.78%,21.66%
Pretax Margin,-,-,-,-,15.44%
Income Tax,524.43M,480.38M,586.4M,392.92M,675.31M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.57B,1.44B,1.82B,1.66B,1.82B
Minority Interest Expense,20.15M,21.18M,28.71M,22.59M,33.24M
Net Income,1.55B,1.42B,1.79B,1.63B,1.79B
Net Income Growth,-,-8.60%,26.46%,-8.71%,9.24%
Net Margin Growth,-,-,-,-,11.05%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.55B,1.42B,1.79B,1.63B,1.79B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.55B,1.42B,1.79B,1.63B,1.79B
EPS (Basic),2.44,2.24,2.83,2.58,2.82
EPS (Basic) Growth,-,-8.36%,26.72%,-8.95%,9.45%
Basic Shares Outstanding,635.2M,633.55M,632.28M,633.96M,632.75M
EPS (Diluted),2.4,2.2,2.78,2.54,2.79
EPS (Diluted) Growth,-,-8.58%,26.53%,-8.60%,9.78%
Diluted Shares Outstanding,645.45M,645.29M,644.92M,644.13M,641M
EBITDA,2.63B,2.48B,2.96B,2.61B,3.15B
EBITDA Growth,-,-5.75%,19.50%,-11.82%,20.74%
EBITDA Margin,-,-,-,-,19.52%
