Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.81B,3.65B,4.13B,4.18B,4.06B
Sales Growth,-,-4.02%,13.14%,1.06%,-2.90%
Cost of Goods Sold (COGS) incl. D&A,3.26B,3.19B,3.59B,3.64B,3.66B
COGS Growth,-,-2.12%,12.37%,1.37%,0.66%
COGS excluding D&A,3.07B,3B,3.4B,3.45B,3.47B
Depreciation & Amortization Expense,197M,193M,190M,191M,193M
Depreciation,160M,156M,153M,154M,155M
Amortization of Intangibles,37M,37M,37M,37M,38M
Gross Income,545M,461M,546M,541M,396M
Gross Income Growth,-,-15.41%,18.44%,-0.92%,-26.80%
Gross Profit Margin,-,-,-,-,9.76%
SG&A Expense,266M,263M,291M,274M,286M
SGA Growth,-,-1.13%,10.65%,-5.84%,4.38%
Research & Development,-,-,-,-,-
Other SG&A,266M,263M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,8M,2M,128M,57M,48M
EBIT after Unusual Expense,(8M),(2M),(128M),(57M),(48M)
Non Operating Income/Expense,12M,17M,2M,5M,3M
Non-Operating Interest Income,2M,3M,1M,2M,7M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,38M,36M,36M,43M,56M
Interest Expense Growth,-,-5.26%,0.00%,19.44%,30.23%
Gross Interest Expense,38M,36M,36M,43M,56M
Interest Capitalized,-,-,-,-,-
Pretax Income,247M,180M,93M,174M,16M
Pretax Income Growth,-,-27.13%,-48.33%,87.10%,-90.80%
Pretax Margin,-,-,-,-,0.39%
Income Tax,28M,25M,-,21M,16M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(53M),(51M),(54M),(63M),(72M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,166M,104M,39M,90M,(72M)
Minority Interest Expense,3M,3M,8M,1M,(27M)
Net Income,163M,101M,31M,89M,(45M)
Net Income Growth,-,-38.04%,-69.31%,187.10%,-150.56%
Net Margin Growth,-,-,-,-,-1.11%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,163M,101M,31M,89M,(45M)
Preferred Dividends,16M,15M,16M,16M,16M
Net Income Available to Common,147M,86M,15M,73M,(61M)
EPS (Basic),0.54,0.32,0.06,0.27,(0.23)
EPS (Basic) Growth,-,-41.51%,-82.57%,386.64%,-183.53%
Basic Shares Outstanding,270.49M,270.51M,270.52M,270.79M,270.93M
EPS (Diluted),0.54,0.32,0.06,0.27,(0.23)
EPS (Diluted) Growth,-,-41.53%,-82.59%,387.68%,-183.66%
Diluted Shares Outstanding,271.06M,271.2M,271.47M,271.16M,270.93M
EBITDA,476M,391M,445M,458M,303M
EBITDA Growth,-,-17.86%,13.81%,2.92%,-33.84%
EBITDA Margin,-,-,-,-,7.47%
