Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.19B,2.2B,2.25B,2.06B,2B
Sales Growth,-,0.25%,2.46%,-8.53%,-3.02%
Total Investment Income,17.3M,14.7M,25.8M,(23.1M),(35.6M)
Sundry Revenue/Income,8.2M,11.8M,17.6M,9.4M,12.7M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,2.16B,2.17B,2.21B,2.07B,2.02B
Total Expense,1.65B,1.59B,1.61B,1.56B,1.53B
Total Interest Expense,25.7M,14.1M,19.3M,22.9M,28.9M
Depreciation & Amortization Expense,84.1M,111.4M,80.7M,80.7M,107.9M
Other Operating Expense,766M,700.8M,793.8M,739.9M,732M
Operating Income,536.6M,605.1M,640.9M,497.9M,463M
Operating Income Growth,-,12.77%,5.92%,-22.31%,-7.01%
Non-Operating Income (Expense),94.8M,203.9M,131.7M,63.7M,(35.9M)
Non-Operating Interest Income,1.5M,2.1M,-,-,-
Miscellaneous Non Operating Expense,53.9M,171.3M,107M,36.7M,(35.8M)
Equity in Affiliates (Pretax),39.4M,30.5M,24.7M,27M,(100K)
Unusual Expense,50.3M,56.9M,57.4M,72.5M,85.1M
Pretax Income,555.4M,738M,695.9M,466.2M,313.1M
Pretax Income Growth,-,32.88%,-5.70%,-33.01%,-32.84%
Pretax Margin,-,-,-,-,28.70%
Income Taxes,83.8M,(4.8M),151.1M,107.1M,89.5M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(19.4M),(27.1M),(19.3M),(15.1M),(11.2M)
Consolidated Net Income,452.2M,715.7M,525.5M,344M,212.4M
Minority Interest Expense,33.2M,77.1M,91.6M,9.5M,(32.8M)
Net Income,419M,638.6M,433.9M,334.5M,245.2M
Net Income Growth,-,52.41%,-32.05%,-22.91%,-26.70%
Net Margin Growth,-,-,-,-,12.29%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,419M,638.6M,433.9M,334.5M,245.2M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,419M,638.6M,433.9M,334.5M,245.2M
EPS (Basic),0.86,1.31,0.89,0.68,0.5
EPS (Basic) Growth,-,52.50%,-32.18%,-22.95%,-26.31%
Basic Shares Outstanding,489.2M,488.9M,489.8M,490M,487.5M
EPS (Diluted),0.86,1.3,0.88,0.68,0.5
EPS (Diluted) Growth,-,52.47%,-32.18%,-22.89%,-26.30%
Diluted Shares Outstanding,489.9M,489.7M,490.6M,490.5M,487.9M
