Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,800.8M,816.8M,866.4M,974.5M,985.8M
Sales Growth,-,2.00%,6.07%,12.48%,1.16%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,-,-,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,800.8M,816.8M,866.4M,974.5M,985.8M
Total Expense,609M,619.4M,642.1M,732.8M,748.8M
Total Interest Expense,12.4M,11.7M,11.5M,11.7M,15.1M
Depreciation & Amortization Expense,40.6M,42.8M,42M,40.9M,40.2M
Other Operating Expense,74M,80.7M,80.9M,88.6M,94M
Operating Income,191.8M,197.4M,224.3M,241.7M,237M
Operating Income Growth,-,2.92%,13.63%,7.76%,-1.94%
Non-Operating Income (Expense),1.6M,(5.2M),1.1M,(3.1M),(4.3M)
Non-Operating Interest Income,100K,-,400K,900K,500K
Miscellaneous Non Operating Expense,1.5M,(5.2M),700K,(900K),(4.4M)
Equity in Affiliates (Pretax),-,-,-,(3.1M),(400K)
Unusual Expense,1.8M,6.7M,3.7M,2M,474.4M
Pretax Income,179.2M,173.8M,210.2M,224.9M,(256.8M)
Pretax Income Growth,-,-3.01%,20.94%,6.99%,-214.18%
Pretax Margin,-,-,-,-,21.64%
Income Taxes,73.7M,53.4M,44.3M,115.3M,(72.3M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(300K),(400K),(600K),(400K),-
Consolidated Net Income,105.2M,120M,165.3M,109.2M,(184.5M)
Minority Interest Expense,-,-,-,-,-
Net Income,105.2M,120M,165.3M,109.2M,(184.5M)
Net Income Growth,-,14.07%,37.75%,-33.94%,-268.96%
Net Margin Growth,-,-,-,-,-18.72%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,105.2M,120M,165.3M,109.2M,(184.5M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,105.2M,120M,165.3M,109.2M,(184.5M)
EPS (Basic),0.99,1.12,1.55,1.02,(1.74)
EPS (Basic) Growth,-,14.07%,37.75%,-33.82%,-269.43%
Basic Shares Outstanding,106.8M,106.8M,106.8M,106.6M,106.3M
EPS (Diluted),0.98,1.12,1.54,1.02,(1.74)
EPS (Diluted) Growth,-,13.96%,37.62%,-33.75%,-269.74%
Diluted Shares Outstanding,106.9M,107M,107.1M,106.8M,106.3M
