Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.59B,1.36B,2.54B,2.87B,3.39B
Sales Growth,-,-14.23%,86.49%,12.91%,18.17%
Cost of Goods Sold (COGS) incl. D&A,1.09B,934M,1.43B,1.22B,1.41B
COGS Growth,-,-13.92%,52.89%,-14.57%,15.25%
COGS excluding D&A,844M,734M,1.19B,1.01B,1.19B
Depreciation & Amortization Expense,241M,200M,236M,206M,220M
Depreciation,239M,198M,234M,205M,219M
Amortization of Intangibles,2M,2M,2M,1M,1M
Gross Income,503M,428M,1.11B,1.65B,1.98B
Gross Income Growth,-,-14.91%,159.81%,48.20%,20.33%
Gross Profit Margin,-,-,-,-,58.51%
SG&A Expense,60M,52M,56M,64M,73M
SGA Growth,-,-13.33%,7.69%,14.29%,14.06%
Research & Development,-,-,-,-,-
Other SG&A,60M,52M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,496M,(17M),(33M),153M
EBIT after Unusual Expense,-,(496M),17M,33M,(153M)
Non Operating Income/Expense,(6M),14M,45M,14M,(15M)
Non-Operating Interest Income,-,-,1M,36M,8M
Equity in Affiliates (Pretax),11M,15M,10M,26M,28M
Interest Expense,46M,46M,44M,241M,82M
Interest Expense Growth,-,0.00%,-4.35%,447.73%,-65.98%
Gross Interest Expense,46M,46M,44M,242M,82M
Interest Capitalized,-,-,-,1M,-
Pretax Income,402M,(137M),1.09B,1.45B,1.7B
Pretax Income Growth,-,-134.08%,891.97%,33.82%,16.80%
Pretax Margin,-,-,-,-,50.04%
Income Tax,85M,(46M),226M,401M,357M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,317M,(91M),859M,1.05B,1.34B
Minority Interest Expense,71M,94M,154M,168M,174M
Net Income,246M,(185M),705M,883M,1.17B
Net Income Growth,-,-175.20%,481.08%,25.25%,31.94%
Net Margin Growth,-,-,-,-,34.38%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,246M,(185M),705M,883M,1.17B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,246M,(185M),705M,883M,1.17B
EPS (Basic),1.14,(0.86),3.29,4.23,5.6
EPS (Basic) Growth,-,-175.42%,482.67%,28.49%,32.19%
Basic Shares Outstanding,215.5M,214.9M,214M,208.6M,208.2M
EPS (Diluted),1.14,(0.86),3.27,4.21,5.58
EPS (Diluted) Growth,-,-175.80%,480.01%,28.59%,32.57%
Diluted Shares Outstanding,216.6M,214.9M,215.5M,209.9M,208.9M
EBITDA,684M,576M,1.29B,1.79B,2.13B
EBITDA Growth,-,-15.79%,124.31%,38.54%,18.99%
EBITDA Margin,-,-,-,-,62.85%
