Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,5.63B,2.37B,3.48B,4.6B,6.25B
Sales Growth,-,-57.86%,46.73%,32.25%,35.88%
Cost of Goods Sold (COGS) incl. D&A,3.15B,1.76B,2.42B,2.87B,3.56B
COGS Growth,-,-44.20%,37.72%,18.91%,23.90%
COGS excluding D&A,2.83B,1.45B,2.1B,2.57B,3.26B
Depreciation & Amortization Expense,313M,309M,317M,307M,302M
Depreciation,133M,129M,138M,128M,123M
Amortization of Intangibles,180M,180M,179M,179M,179M
Gross Income,2.48B,616M,1.06B,1.73B,2.69B
Gross Income Growth,-,-75.18%,72.40%,62.62%,55.82%
Gross Profit Margin,-,-,-,-,43.04%
SG&A Expense,1.29B,969M,1.12B,1B,1.31B
SGA Growth,-,-24.94%,15.79%,-10.61%,30.91%
Research & Development,293M,297M,316M,268M,296M
Other SG&A,998M,672M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,220M,(19M),8M,72M,160M
EBIT after Unusual Expense,(220M),19M,(8M),(72M),(160M)
Non Operating Income/Expense,318M,332M,292M,30M,97M
Non-Operating Interest Income,18M,19M,19M,15M,24M
Equity in Affiliates (Pretax),2M,(1M),10M,10M,4M
Interest Expense,7M,8M,8M,9M,16M
Interest Expense Growth,-,14.29%,0.00%,12.50%,77.78%
Gross Interest Expense,7M,8M,8M,9M,16M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.3B,8M,245M,698M,1.33B
Pretax Income Growth,-,-99.39%,"2,962.50%",184.90%,90.11%
Pretax Margin,-,-,-,-,21.23%
Income Tax,284M,(28M),90M,121M,325M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.02B,36M,155M,577M,1B
Minority Interest Expense,3M,2M,2M,3M,3M
Net Income,1.02B,34M,153M,574M,999M
Net Income Growth,-,-96.65%,350.00%,275.16%,74.04%
Net Margin Growth,-,-,-,-,15.98%
Extraordinaries & Discontinued Operations,(45M),(4M),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(45M),(4M),6M,(10M),(30M)
Net Income After Extraordinaries,970M,30M,159M,564M,969M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,970M,30M,159M,564M,969M
EPS (Basic),1.32,0.04,0.22,0.78,1.34
EPS (Basic) Growth,-,-96.89%,433.01%,255.87%,72.75%
Basic Shares Outstanding,737.3M,733.8M,729.2M,727M,723M
EPS (Diluted),1.31,0.04,0.22,0.77,1.33
EPS (Diluted) Growth,-,-96.89%,432.76%,256.73%,72.81%
Diluted Shares Outstanding,743.3M,739.5M,735.1M,730.9M,726.7M
EBITDA,1.5B,(44M),257M,1.03B,1.68B
EBITDA Growth,-,-102.93%,684.09%,301.17%,62.95%
EBITDA Margin,-,-,-,-,26.87%
