Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.03B,2.02B,1.99B,2.05B,2.16B
Sales Growth,-,-0.66%,-1.44%,3.15%,5.21%
Cost of Goods Sold (COGS) incl. D&A,1.25B,1.26B,1.27B,1.31B,1.38B
COGS Growth,-,0.54%,0.34%,3.37%,5.19%
COGS excluding D&A,1.18B,1.19B,1.19B,1.23B,1.3B
Depreciation & Amortization Expense,71.52M,72.91M,71.89M,79M,75.29M
Depreciation,36.05M,36.91M,36.16M,37.81M,36.57M
Amortization of Intangibles,35.47M,36M,35.73M,41.19M,38.72M
Gross Income,777.01M,756.77M,723.44M,743.4M,782.32M
Gross Income Growth,-,-2.60%,-4.40%,2.76%,5.24%
Gross Profit Margin,-,-,-,-,36.24%
SG&A Expense,423.45M,409.96M,426.02M,435.89M,421.16M
SGA Growth,-,-3.19%,3.92%,2.32%,-3.38%
Research & Development,41.2M,34.4M,-,40.7M,41.2M
Other SG&A,382.25M,375.56M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,9.44M,4.79M,26.7M,8.16M,4.31M
EBIT after Unusual Expense,(9.44M),(4.79M),(26.7M),(8.16M),(4.31M)
Non Operating Income/Expense,4.93M,10.46M,215.03M,2.13M,4.55M
Non-Operating Interest Income,942K,1.47M,1.35M,775K,949K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,26.66M,26.43M,26.4M,26.55M,26.99M
Interest Expense Growth,-,-0.86%,-0.12%,0.57%,1.65%
Gross Interest Expense,26.66M,26.43M,26.4M,26.55M,26.99M
Interest Capitalized,-,-,-,-,-
Pretax Income,323.34M,327.52M,460.71M,275.7M,335.36M
Pretax Income Growth,-,1.29%,40.67%,-40.16%,21.64%
Pretax Margin,-,-,-,-,15.53%
Income Tax,58.84M,63.76M,97.93M,49.55M,45.74M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,264.51M,263.76M,362.79M,226.15M,289.62M
Minority Interest Expense,-,-,-,-,-
Net Income,264.51M,263.76M,362.79M,226.15M,289.62M
Net Income Growth,-,-0.28%,37.55%,-37.66%,28.06%
Net Margin Growth,-,-,-,-,13.42%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,264.51M,263.76M,362.79M,226.15M,289.62M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,264.51M,263.76M,362.79M,226.15M,289.62M
EPS (Basic),1.84,1.83,2.52,1.57,2.01
EPS (Basic) Growth,-,-0.31%,37.52%,-37.69%,28.29%
Basic Shares Outstanding,143.94M,143.98M,144.01M,144.09M,143.83M
EPS (Diluted),1.82,1.81,2.49,1.56,2
EPS (Diluted) Growth,-,-0.50%,37.52%,-37.60%,28.64%
Diluted Shares Outstanding,145.12M,145.44M,145.46M,145.33M,144.67M
EBITDA,425.09M,419.73M,369.31M,386.51M,436.45M
EBITDA Growth,-,-1.26%,-12.01%,4.66%,12.92%
EBITDA Margin,-,-,-,-,20.22%
