Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,6.24B,7.44B,7.24B,6.57B,6.22B
Sales Growth,-,19.26%,-2.69%,-9.31%,-5.37%
Cost of Goods Sold (COGS) incl. D&A,1.39B,1.22B,2.11B,1.42B,1.44B
COGS Growth,-,-12.01%,72.61%,-32.54%,1.26%
COGS excluding D&A,826M,745M,1.58B,899M,917M
Depreciation & Amortization Expense,564M,478M,535M,525M,525M
Depreciation,124M,37M,114M,80M,80M
Amortization of Intangibles,440M,441M,421M,445M,445M
Gross Income,4.85B,6.22B,5.13B,5.14B,4.77B
Gross Income Growth,-,28.23%,-17.49%,0.25%,-7.21%
Gross Profit Margin,-,-,-,-,76.80%
SG&A Expense,2.49B,2.34B,3.67B,2.26B,2.46B
SGA Growth,-,-5.96%,56.95%,-38.41%,8.85%
Research & Development,1.13B,1.15B,2.03B,1.18B,1.1B
Other SG&A,1.35B,1.19B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(63M),156M,1.19B,2.69B,285M
EBIT after Unusual Expense,63M,(156M),(1.19B),(2.69B),(285M)
Non Operating Income/Expense,(355M),(38M),722M,(108M),(284M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,256M,250M,238M,238M,242M
Interest Expense Growth,-,-2.34%,-4.80%,0.00%,1.68%
Gross Interest Expense,256M,250M,238M,238M,242M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.82B,3.44B,759M,(152M),1.5B
Pretax Income Growth,-,89.21%,-77.92%,-120.03%,"1,088.82%"
Pretax Margin,-,-,-,-,24.18%
Income Tax,300M,852M,383M,(164M),368M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.52B,2.59B,376M,12M,1.14B
Minority Interest Expense,(5M),(6M),(6M),(7M),(9M)
Net Income,1.52B,2.59B,382M,19M,1.14B
Net Income Growth,-,70.30%,-85.26%,-95.03%,"5,921.05%"
Net Margin Growth,-,-,-,-,18.41%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.52B,2.59B,382M,19M,1.14B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.52B,2.59B,382M,19M,1.14B
EPS (Basic),1.21,2.06,0.3,0.02,0.91
EPS (Basic) Growth,-,70.16%,-85.26%,-95.03%,"5,931.79%"
Basic Shares Outstanding,1.26B,1.26B,1.26B,1.26B,1.26B
EPS (Diluted),1.21,2.05,0.3,0.02,0.91
EPS (Diluted) Growth,-,70.04%,-85.26%,-95.01%,"5,912.58%"
Diluted Shares Outstanding,1.26B,1.26B,1.26B,1.26B,1.26B
EBITDA,2.93B,4.36B,2B,3.41B,2.84B
EBITDA Growth,-,48.86%,-54.17%,70.67%,-16.74%
EBITDA Margin,-,-,-,-,45.68%
