Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.32B,1.97B,2.01B,1.16B,1.34B
Sales Growth,-,48.93%,2.08%,-42.14%,15.08%
Cost of Goods Sold (COGS) incl. D&A,599.4M,998.9M,1.16B,588.4M,632.5M
COGS Growth,-,66.65%,16.25%,-49.33%,7.49%
COGS excluding D&A,416.4M,734.7M,855.1M,397.7M,488M
Depreciation & Amortization Expense,183M,264.2M,306.1M,190.7M,144.5M
Depreciation,42.6M,48.6M,47.1M,25.1M,36.6M
Amortization of Intangibles,29.7M,27.7M,26.5M,27.1M,27.2M
Gross Income,723.4M,971.2M,849.8M,575.1M,706.5M
Gross Income Growth,-,34.25%,-12.50%,-32.33%,22.85%
Gross Profit Margin,-,-,-,-,52.76%
SG&A Expense,537.4M,605.2M,664.6M,454.3M,490.6M
SGA Growth,-,12.62%,9.81%,-31.64%,7.99%
Research & Development,87.2M,80.1M,86.6M,69.6M,79.2M
Other SG&A,450.2M,525.1M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,105.9M,(4.7M),(17.2M),2.6M,(16.7M)
EBIT after Unusual Expense,(105.9M),4.7M,17.2M,(2.6M),16.7M
Non Operating Income/Expense,5.9M,(5.8M),(72.1M),1.5M,(13.7M)
Non-Operating Interest Income,1.2M,1.8M,-,2.1M,2.7M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,46.1M,43.3M,42.4M,41.6M,41.7M
Interest Expense Growth,-,-6.07%,-2.08%,-1.89%,0.24%
Gross Interest Expense,46.1M,43.3M,42.4M,41.6M,41.7M
Interest Capitalized,-,-,-,-,-
Pretax Income,41.1M,323.4M,87.9M,80.2M,179.9M
Pretax Income Growth,-,686.86%,-72.82%,-8.76%,124.31%
Pretax Margin,-,-,-,-,13.44%
Income Tax,63M,68.5M,3.1M,17.3M,39.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(21.9M),254.9M,84.8M,62.9M,140.5M
Minority Interest Expense,1M,1.7M,2.6M,1.7M,(1.5M)
Net Income,(22.9M),253.2M,82.2M,61.2M,142M
Net Income Growth,-,"1,205.68%",-67.54%,-25.55%,132.03%
Net Margin Growth,-,-,-,-,10.60%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(22.9M),253.2M,82.2M,61.2M,142M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(22.9M),253.2M,82.2M,61.2M,142M
EPS (Basic),(0.17),1.83,0.59,0.44,1.02
EPS (Basic) Growth,-,"1,203.13%",-67.58%,-26.09%,132.55%
Basic Shares Outstanding,137.8M,138.1M,138.3M,139.3M,139M
EPS (Diluted),(0.17),1.83,0.59,0.44,1.02
EPS (Diluted) Growth,-,"1,203.13%",-67.68%,-26.02%,132.69%
Diluted Shares Outstanding,137.8M,138.1M,138.7M,139.6M,139.2M
EBITDA,369M,630.2M,491.3M,311.5M,360.4M
EBITDA Growth,-,70.79%,-22.04%,-36.60%,15.70%
EBITDA Margin,-,-,-,-,26.92%
