Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.82B,1.91B,1.56B,1.68B,1.52B
Sales Growth,-,5.35%,-18.69%,8.34%,-9.84%
Total Investment Income,93.9M,162.5M,(208.4M),55.3M,(11.4M)
Sundry Revenue/Income,62.5M,60.6M,57.7M,68.9M,53.9M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,1.66B,1.69B,1.71B,1.56B,1.48B
Total Expense,1.22B,1.24B,1.4B,1.18B,1.17B
Total Interest Expense,63M,64.6M,63.1M,65.7M,70.8M
Depreciation & Amortization Expense,52.8M,51M,50.4M,49.5M,49.3M
Other Operating Expense,409M,422.8M,553M,392.4M,392.8M
Operating Income,595.7M,668.2M,153.6M,508.7M,347.9M
Operating Income Growth,-,12.17%,-77.01%,231.18%,-31.61%
Non-Operating Income (Expense),70.5M,69.7M,546.4M,(87.5M),5M
Non-Operating Interest Income,66.9M,81.1M,86.9M,75.7M,84.7M
Miscellaneous Non Operating Expense,(33.6M),(66M),426.5M,(196.6M),(104.4M)
Equity in Affiliates (Pretax),37.2M,54.6M,33M,33.4M,24.7M
Unusual Expense,(46.1M),(12M),(50.9M),35.2M,200K
Pretax Income,649.3M,685.3M,687.8M,320.3M,281.9M
Pretax Income Growth,-,5.54%,0.36%,-53.43%,-11.99%
Pretax Margin,-,-,-,-,35.67%
Income Taxes,154.2M,139.7M,130.7M,82.8M,63M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,495.1M,545.6M,557.1M,237.5M,218.9M
Minority Interest Expense,67.6M,156.3M,71.1M,(19.4M),38.7M
Net Income,427.5M,389.3M,486M,256.9M,180.2M
Net Income Growth,-,-8.94%,24.84%,-47.14%,-29.86%
Net Margin Growth,-,-,-,-,11.86%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,427.5M,389.3M,486M,256.9M,180.2M
Preferred Dividends,59.2M,59.2M,59.2M,59.2M,59.2M
Net Income Available to Common,368.3M,330.1M,426.8M,197.7M,121M
EPS (Basic),0.8,0.71,0.92,0.43,0.27
EPS (Basic) Growth,-,-10.47%,29.29%,-53.30%,-38.38%
Basic Shares Outstanding,462.8M,463.3M,463.3M,459.5M,456.5M
EPS (Diluted),0.79,0.71,0.92,0.43,0.26
EPS (Diluted) Growth,-,-10.33%,29.40%,-53.35%,-38.42%
Diluted Shares Outstanding,466.2M,466M,465.6M,462.4M,459.5M
