Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,4.98B,4.59B,5.13B,5.62B,5.38B
Sales Growth,-,-7.83%,11.67%,9.51%,-4.22%
Total Investment Income,17M,11M,260M,17M,2M
Sundry Revenue/Income,-,-,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,4.96B,4.58B,4.87B,5.6B,5.37B
Total Expense,3.73B,3.78B,3.91B,4.01B,3.96B
Total Interest Expense,110M,107M,109M,110M,114M
Depreciation & Amortization Expense,272M,262M,264M,257M,243M
Other Operating Expense,2.84B,2.83B,2.88B,3.09B,3.01B
Operating Income,1.26B,813M,1.23B,1.61B,1.43B
Operating Income Growth,-,-35.27%,50.68%,31.10%,-11.27%
Non-Operating Income (Expense),122M,70M,66M,11M,60M
Non-Operating Interest Income,1M,1M,-,1M,1M
Miscellaneous Non Operating Expense,121M,69M,66M,10M,59M
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,59M,60M,221M,83M,59M
Pretax Income,1.21B,716M,961M,1.42B,1.31B
Pretax Income Growth,-,-40.78%,34.22%,48.18%,-7.87%
Pretax Margin,-,-,-,-,21.25%
Income Taxes,382M,174M,154M,338M,334M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,827M,542M,807M,1.09B,978M
Minority Interest Expense,7M,5M,4M,15M,11M
Net Income,820M,537M,803M,1.07B,967M
Net Income Growth,-,-34.51%,49.53%,33.37%,-9.71%
Net Margin Growth,-,-,-,-,17.97%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,820M,537M,803M,1.07B,967M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,820M,537M,803M,1.07B,967M
EPS (Basic),1.61,1.06,1.59,2.13,1.93
EPS (Basic) Growth,-,-34.25%,50.12%,33.64%,-9.35%
Basic Shares Outstanding,508M,506M,504M,503M,501M
EPS (Diluted),1.6,1.05,1.57,2.1,1.91
EPS (Diluted) Growth,-,-34.51%,50.11%,33.90%,-9.17%
Diluted Shares Outstanding,513M,513M,511M,509M,506M
