Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,4.35B,4.97B,7.14B,6.05B,4.72B
Sales Growth,-,14.12%,43.73%,-15.26%,-22.03%
Cost of Goods Sold (COGS) incl. D&A,819M,792M,1.03B,1.1B,1.46B
COGS Growth,-,-3.30%,30.05%,6.41%,32.94%
COGS excluding D&A,750M,722M,952M,1.02B,1.38B
Depreciation & Amortization Expense,69M,70M,78M,79M,76M
Depreciation,69M,70M,78M,79M,76M
Amortization of Intangibles,-,-,-,-,-
Gross Income,3.54B,4.18B,6.11B,4.96B,3.26B
Gross Income Growth,-,18.16%,46.33%,-18.91%,-34.18%
Gross Profit Margin,-,-,-,-,69.12%
SG&A Expense,473M,619M,771M,743M,845M
SGA Growth,-,30.87%,24.56%,-3.63%,13.73%
Research & Development,352M,451M,570M,475M,634M
Other SG&A,121M,168M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,3M,(6M),68M,7M,22M
Non-Operating Interest Income,3M,4M,7M,15M,40M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,5M,4M,6M,6M,5M
Interest Expense Growth,-,-20.00%,50.00%,0.00%,-16.67%
Gross Interest Expense,5M,4M,6M,6M,5M
Interest Capitalized,-,-,-,-,-
Pretax Income,3.06B,3.55B,5.41B,4.23B,2.47B
Pretax Income Growth,-,15.96%,52.31%,-21.83%,-41.50%
Pretax Margin,-,-,-,-,52.43%
Income Tax,283M,219M,542M,572M,277M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.78B,3.33B,4.87B,3.66B,2.2B
Minority Interest Expense,-,-,-,-,-
Net Income,2.78B,3.33B,4.87B,3.66B,2.2B
Net Income Growth,-,19.89%,46.05%,-24.88%,-39.92%
Net Margin Growth,-,-,-,-,46.56%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,2.78B,3.33B,4.87B,3.66B,2.2B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,2.78B,3.33B,4.87B,3.66B,2.2B
EPS (Basic),6.92,8.25,12.02,9.1,5.55
EPS (Basic) Growth,-,19.30%,45.69%,-24.32%,-39.01%
Basic Shares Outstanding,402M,404M,405M,402M,396M
EPS (Diluted),6.45,7.68,11.29,8.58,5.24
EPS (Diluted) Growth,-,19.06%,47.07%,-24.00%,-38.92%
Diluted Shares Outstanding,431M,434M,431M,426M,419M
EBITDA,3.13B,3.63B,5.42B,4.29B,2.49B
EBITDA Growth,-,15.87%,49.37%,-20.80%,-41.92%
EBITDA Margin,-,-,-,-,52.83%
