Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,986M,959.4M,1.41B,1.87B,1.18B
Sales Growth,-,-2.70%,46.82%,32.99%,-36.84%
Cost of Goods Sold (COGS) incl. D&A,414.6M,397.2M,667.1M,899.4M,592.4M
COGS Growth,-,-4.20%,67.95%,34.82%,-34.13%
COGS excluding D&A,228.3M,208.3M,478.9M,706.7M,383.7M
Depreciation & Amortization Expense,186.3M,188.9M,188.2M,192.7M,208.7M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,571.4M,562.2M,741.5M,973.9M,590.8M
Gross Income Growth,-,-1.61%,31.89%,31.34%,-39.34%
Gross Profit Margin,-,-,-,-,49.93%
SG&A Expense,362.8M,351.1M,380.6M,394.3M,381.9M
SGA Growth,-,-3.22%,8.40%,3.60%,-3.14%
Research & Development,-,-,-,-,-
Other SG&A,362.8M,351.1M,-,-,-
Other Operating Expense,66.5M,65.1M,75.7M,84.3M,65.6M
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,11.8M,14.3M,1.5M,115M,8.4M
Non-Operating Interest Income,700K,1.1M,1.3M,900K,600K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,84.5M,84.4M,87.6M,83.7M,84.5M
Interest Expense Growth,-,-0.12%,3.79%,-4.45%,0.96%
Gross Interest Expense,84.5M,84.4M,87.6M,83.7M,84.5M
Interest Capitalized,-,-,-,-,-
Pretax Income,70.1M,77M,200.4M,527.5M,67.8M
Pretax Income Growth,-,9.84%,160.26%,163.22%,-87.15%
Pretax Margin,-,-,-,-,5.73%
Income Tax,13.2M,14.8M,27.2M,96.2M,12M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,56.9M,62.2M,173.2M,431.3M,55.8M
Minority Interest Expense,(3.4M),(1M),7.3M,4.5M,(11.2M)
Net Income,60.3M,63.2M,165.9M,426.8M,67M
Net Income Growth,-,4.81%,162.50%,157.26%,-84.30%
Net Margin Growth,-,-,-,-,5.66%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,60.3M,63.2M,165.9M,426.8M,67M
Preferred Dividends,13.8M,13.8M,13.7M,13.8M,13.8M
Net Income Available to Common,46.5M,49.4M,152.2M,413M,53.2M
EPS (Basic),0.12,0.13,0.39,1.02,0.13
EPS (Basic) Growth,-,6.17%,206.53%,164.21%,-87.13%
Basic Shares Outstanding,393M,393.2M,395.35M,406M,406.4M
EPS (Diluted),0.11,0.11,0.35,0.94,0.12
EPS (Diluted) Growth,-,4.36%,209.15%,163.65%,-87.09%
Diluted Shares Outstanding,422.9M,430.3M,428.8M,441.4M,440.2M
EBITDA,328.4M,334.9M,473.4M,688M,352M
EBITDA Growth,-,1.98%,41.36%,45.33%,-48.84%
EBITDA Margin,-,-,-,-,29.75%
