Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3B,3.35B,3.92B,3.97B,4.23B
Sales Growth,-,11.78%,17.01%,1.07%,6.72%
Cost of Goods Sold (COGS) incl. D&A,2.57B,2.84B,3.43B,3.53B,3.72B
COGS Growth,-,10.41%,20.56%,3.14%,5.16%
COGS excluding D&A,2.49B,2.76B,3.26B,3.35B,3.53B
Depreciation & Amortization Expense,84.05M,84.39M,169M,186.71M,181.9M
Depreciation,62.76M,61.62M,69.05M,70.95M,73.96M
Amortization of Intangibles,21.29M,22.77M,99.95M,115.75M,107.95M
Gross Income,426.42M,511.9M,498.03M,432.42M,516.65M
Gross Income Growth,-,20.05%,-2.71%,-13.17%,19.48%
Gross Profit Margin,-,-,-,-,12.21%
SG&A Expense,270.11M,274.85M,367.65M,309.76M,309.05M
SGA Growth,-,1.75%,33.77%,-15.75%,-0.23%
Research & Development,-,-,-,-,-
Other SG&A,270.11M,268.65M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,2.11M,(787K),11.52M,28.69M,59.45M
EBIT after Unusual Expense,(2.11M),787K,(11.52M),(28.69M),(59.45M)
Non Operating Income/Expense,8.47M,6.09M,6.85M,1.78M,(10.48M)
Non-Operating Interest Income,2.91M,72K,96K,69K,222K
Equity in Affiliates (Pretax),7.45M,10.23M,21.2M,20.49M,28.18M
Interest Expense,13.11M,17.26M,26.06M,24.73M,28.64M
Interest Expense Growth,-,31.66%,50.97%,-5.10%,15.82%
Gross Interest Expense,13.11M,17.26M,26.06M,24.73M,28.64M
Interest Capitalized,-,-,-,-,-
Pretax Income,159.92M,236.98M,120.96M,91.58M,137.41M
Pretax Income Growth,-,48.18%,-48.96%,-24.28%,50.04%
Pretax Margin,-,-,-,-,3.25%
Income Tax,40.95M,61.58M,14.66M,6.56M,41.25M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,118.97M,175.4M,106.3M,85.03M,96.16M
Minority Interest Expense,1.94M,1.03M,1.5M,387K,8.14M
Net Income,117.03M,174.37M,104.8M,84.64M,88.02M
Net Income Growth,-,48.99%,-39.90%,-19.23%,3.99%
Net Margin Growth,-,-,-,-,2.08%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,117.03M,174.37M,104.8M,84.64M,88.02M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,117.03M,174.37M,104.8M,84.64M,88.02M
EPS (Basic),0.83,1.25,0.73,0.59,0.61
EPS (Basic) Growth,-,49.27%,-41.10%,-19.60%,3.76%
Basic Shares Outstanding,140.28M,140.01M,142.87M,143.54M,143.85M
EPS (Diluted),0.81,1.21,0.71,0.57,0.59
EPS (Diluted) Growth,-,49.30%,-41.33%,-19.37%,3.90%
Diluted Shares Outstanding,144.61M,144.3M,147.83M,148.08M,148.21M
EBITDA,240.36M,321.45M,299.38M,309.37M,389.5M
EBITDA Growth,-,33.74%,-6.86%,3.34%,25.90%
EBITDA Margin,-,-,-,-,9.20%
