Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,71.32B,72.34B,73.74B,80.15B,80.33B
Sales Growth,-,1.42%,1.94%,8.69%,0.23%
Premiums Earned,56.23B,56.97B,57.55B,64.07B,63.9B
Total Investment Income,-,-,-,-,-
Realized Gains (Losses),-,-,-,-,-
Other Operating Income,15.09B,15.37B,16.2B,16.08B,16.44B
"Losses, Claims & Reserves",46.55B,47.3B,48.16B,52.52B,52.09B
"Losses, Claims & Reserves Growth",-,1.62%,1.81%,9.06%,-0.82%
"Losses, Benefits & Adjustments",46.55B,47.3B,48.16B,52.52B,52.09B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",18.8B,19.32B,20.04B,20.68B,21.11B
SGA Growth,-,2.80%,3.73%,3.16%,2.08%
"Selling, General & Admin. Expenses",11.14B,11.52B,12.04B,12.19B,12.51B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,-
Other Operating Expense,7.66B,7.8B,8B,8.49B,8.6B
Operating Income Before Interest Expense,5.98B,5.71B,5.54B,6.95B,7.13B
Operating Income Growth,-,-4.45%,-2.99%,25.43%,2.62%
"Interest Expense, Net of Interest Capitalized",410M,422M,431M,433M,467M
Interest Expense (excl. Interest Capitalized),410M,422M,431M,433M,467M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,5.98B,5.71B,5.54B,6.95B,7.13B
Non-Operating Income (Expense),-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,-
Pretax Income,5.57B,5.29B,5.11B,6.52B,6.67B
Pretax Income Growth,-,-4.99%,-3.40%,27.53%,2.27%
Income Tax,1.2B,1.1B,919M,1.37B,1.47B
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,4.37B,4.19B,4.19B,5.15B,5.2B
Minority Interest Expense,106M,105M,120M,121M,129M
Net Income,4.27B,4.09B,4.07B,5.03B,5.07B
Net Income Growth,-,-4.22%,-0.37%,23.48%,0.86%
Net Margin Growth,-,-,-,-,6.31%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,4.27B,4.09B,4.07B,5.03B,5.07B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,4.27B,4.09B,4.07B,5.03B,5.07B
EPS (Basic),4.52,4.33,4.33,5.34,5.41
EPS (Basic) Growth,-,-4.12%,-0.16%,23.48%,1.29%
Basic Shares Outstanding,944M,943M,941M,941M,937M
EPS (Diluted),4.46,4.28,4.26,5.27,5.34
EPS (Diluted) Growth,-,-4.12%,-0.37%,23.61%,1.28%
Diluted Shares Outstanding,956M,955M,955M,954M,950M
