Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,5.33B,5.49B,5.81B,4.92B,5.1B
Sales Growth,-,3.10%,5.88%,-15.36%,3.58%
Cost of Goods Sold (COGS) incl. D&A,4.28B,4.4B,4.65B,4.09B,4.21B
COGS Growth,-,2.92%,5.61%,-12.00%,2.96%
COGS excluding D&A,4.16B,4.28B,4.53B,3.98B,4.1B
Depreciation & Amortization Expense,118M,119M,116M,112M,114M
Depreciation,108M,109M,107M,103M,107M
Amortization of Intangibles,10M,10M,9M,9M,7M
Gross Income,1.05B,1.09B,1.16B,829M,884M
Gross Income Growth,-,3.82%,6.99%,-28.78%,6.63%
Gross Profit Margin,-,-,-,-,17.35%
SG&A Expense,509M,524M,555M,376M,461M
SGA Growth,-,2.95%,5.92%,-32.25%,22.61%
Research & Development,-,-,-,-,-
Other SG&A,509M,524M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,55M,(31M),-,21M,389M
EBIT after Unusual Expense,(55M),31M,-,(21M),(389M)
Non Operating Income/Expense,235M,35M,(96M),36M,(321M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,45M,44M,42M,41M,45M
Interest Expense Growth,-,-2.22%,-4.55%,-2.38%,9.76%
Gross Interest Expense,45M,44M,42M,41M,45M
Interest Capitalized,-,-,-,-,-
Pretax Income,674M,586M,471M,427M,(332M)
Pretax Income Growth,-,-13.06%,-19.62%,-9.34%,-177.75%
Pretax Margin,-,-,-,-,-6.51%
Income Tax,94M,100M,165M,106M,37M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,(6M),(5M),1M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,580M,486M,300M,316M,(368M)
Minority Interest Expense,(1M),15M,2M,3M,3M
Net Income,581M,471M,298M,313M,(371M)
Net Income Growth,-,-18.93%,-36.73%,5.03%,-218.53%
Net Margin Growth,-,-,-,-,-7.28%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,581M,471M,298M,313M,(371M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,581M,471M,298M,313M,(371M)
EPS (Basic),9.24,7.57,4.95,5.37,(6.63)
EPS (Basic) Growth,-,-18.02%,-34.63%,8.46%,-223.40%
Basic Shares Outstanding,62.9M,62.2M,60.2M,58.3M,56M
EPS (Diluted),9.15,7.51,4.9,5.33,(6.63)
EPS (Diluted) Growth,-,-17.90%,-34.77%,8.82%,-224.25%
Diluted Shares Outstanding,63.5M,62.7M,60.9M,58.7M,56M
EBITDA,657M,683M,725M,565M,537M
EBITDA Growth,-,3.96%,6.15%,-22.07%,-4.96%
EBITDA Margin,-,-,-,-,10.54%
