Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,152.86B,141.05B,140.53B,152.87B,141.57B
Sales Growth,-,-7.73%,-0.37%,8.79%,-7.39%
Cost of Goods Sold (COGS) incl. D&A,-,105.18B,105.02B,115.52B,106.85B
COGS Growth,-,-,-0.15%,10.00%,-7.51%
COGS excluding D&A,-,102.54B,102.37B,112.82B,104.17B
Depreciation & Amortization Expense,-,2.64B,2.65B,2.71B,2.68B
Depreciation,-,2.64B,2.65B,2.71B,2.68B
Amortization of Intangibles,-,-,-,-,-
Gross Income,37.02B,35.87B,35.5B,37.35B,34.72B
Gross Income Growth,-,-3.12%,-1.01%,5.20%,-7.03%
Gross Profit Margin,-,-,-,-,24.53%
SG&A Expense,-,28.11B,29.51B,30.96B,29.2B
SGA Growth,-,-,4.98%,4.92%,-5.68%
Research & Development,-,-,-,-,-
Other SG&A,-,28.11B,29.71B,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,1.35B,1.4B,1.23B,2.2B
EBIT after Unusual Expense,-,(1.35B),(1.4B),(1.23B),(2.2B)
Non Operating Income/Expense,-,-,-,-,-
Non-Operating Interest Income,-,37M,44M,47M,36M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,515M,486M,427M,455M
Interest Expense Growth,-,-,-5.63%,-12.14%,6.56%
Gross Interest Expense,-,515M,486M,427M,455M
Interest Capitalized,-,-,-,-,-
Pretax Income,6.64B,5.92B,4.15B,4.78B,2.9B
Pretax Income Growth,-,-10.85%,-29.98%,15.31%,-39.34%
Pretax Margin,-,-,-,-,2.05%
Income Tax,1.5B,1.56B,1.02B,1.15B,798M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,5.15B,4.36B,3.13B,3.63B,2.1B
Minority Interest Expense,(2M),88M,27M,71M,49M
Net Income,-,4.28B,3.11B,3.56B,2.05B
Net Income Growth,-,-,-27.39%,14.72%,-42.34%
Net Margin Growth,-,-,-,-,1.45%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,4.28B,3.11B,3.56B,2.05B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,4.28B,3.11B,3.56B,2.05B
EPS (Basic),1.88,1.53,1.11,1.29,0.75
EPS (Basic) Growth,-,-18.82%,-27.02%,15.38%,-42.02%
Basic Shares Outstanding,2.74B,2.8B,2.79B,2.77B,2.75B
EPS (Diluted),-,1.52,1.11,1.28,0.74
EPS (Diluted) Growth,-,-,-27.00%,15.34%,-41.98%
Diluted Shares Outstanding,2.75B,2.81B,2.8B,2.78B,2.77B
EBITDA,-,10.4B,8.64B,9.09B,8.2B
EBITDA Growth,-,-,-16.86%,5.22%,-9.84%
EBITDA Margin,-,-,-,-,5.79%
