Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
MMM,15.05,21.01,17.56,2.94,6.75,13.95,10.62,2.86,N/A,N/A,N/A,N/A,0.75,1.70,1.15,0.53,46.99%,21.29%,20.38%,16.75%,12.54%,42.42%,22.76%,N/A,N/A,N/A,38.91,N/A,N/A
AOS,20.67,18.90,28.43,3.91,7.39,21.60,13.43,2.40,N/A,N/A,N/A,N/A,1.07,1.57,1.17,0.56,37.07%,17.25%,17.68%,13.76%,14.68%,26.47%,29.99%,N/A,N/A,N/A,6.64,N/A,N/A
ABT,28.32,23.10,35.75,5.85,6.93,23.90,16.03,4.48,N/A,N/A,N/A,N/A,0.58,1.85,1.46,0.78,53.89%,21.36%,19.06%,16.35%,9.53%,20.53%,17.01%,N/A,N/A,N/A,25.60,N/A,N/A
ABBV,22.10,20.16,20.98,4.28,15.54,10.56,11.32,5.58,N/A,N/A,N/A,N/A,0.38,0.79,0.70,0.28,69.49%,35.14%,23.11%,20.41%,7.72%,80.52%,20.45%,N/A,N/A,N/A,52.94,N/A,N/A
ABMD,98.68,61.96,111.33,14.73,10.04,53.25,44.54,11.97,N/A,N/A,N/A,N/A,0.65,7.05,6.37,5.48,81.76%,24.80%,18.47%,13.23%,8.62%,9.64%,17.96%,N/A,N/A,N/A,0.57,N/A,N/A
ACN,35.00,30.96,36.76,4.30,10.89,24.22,20.59,3.32,0.02,"$80,983.00","$9,466.00",5.75,1.26,1.25,1.25,0.52,32.59%,15.29%,15.36%,11.69%,14.72%,32.34%,34.65%,28.13%,17.96,15.22,8.12,14.08,11.94
ATVI,23.47,33.90,19.33,5.93,2.95,21.61,14.71,7.39,N/A,N/A,N/A,N/A,0.37,5.21,5.21,4.40,73.60%,37.90%,35.94%,30.66%,11.21%,16.54%,16.50%,N/A,N/A,N/A,15.55,N/A,N/A
ADM,18.09,13.67,14.12,0.45,1.68,5.80,11.07,0.62,N/A,N/A,N/A,N/A,1.61,1.45,0.79,0.04,8.51%,5.01%,3.89%,3.18%,5.12%,12.76%,13.25%,N/A,N/A,N/A,18.85,N/A,N/A
ADBE,44.46,43.12,61.50,18.77,19.79,41.02,31.06,12.47,N/A,N/A,N/A,N/A,0.61,1.22,1.22,0.84,87.11%,36.82%,36.11%,30.52%,18.72%,34.37%,31.08%,N/A,N/A,N/A,17.15,N/A,N/A
ADP,36.67,36.42,29.99,5.36,27.10,28.54,25.20,6.59,N/A,N/A,N/A,N/A,0.30,0.99,0.99,0.03,46.86%,23.05%,23.06%,17.87%,5.27%,66.30%,47.74%,N/A,N/A,N/A,5.69,N/A,N/A
