Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
MMM,15.05,21.01,17.56,2.94,6.75,13.95,10.62,2.86,N/A,N/A,N/A,N/A,0.75,1.70,1.15,0.53,4699.00,2129.00,2038.00,1675.00,1254.00,4242.00,2276.00,N/A,N/A,N/A,38.91,N/A,N/A
AOS,20.67,18.90,28.43,3.91,7.39,21.60,13.43,2.40,N/A,N/A,N/A,N/A,1.07,1.57,1.17,0.56,3707.00,1725.00,1768.00,1376.00,1468.00,2647.00,2999.00,N/A,N/A,N/A,6.64,N/A,N/A
ABT,28.32,23.10,35.75,5.85,6.93,23.90,16.03,4.48,N/A,N/A,N/A,N/A,0.58,1.85,1.46,0.78,5389.00,2136.00,1906.00,1635.00,953.00,2053.00,1701.00,N/A,N/A,N/A,25.60,N/A,N/A
ABBV,22.10,20.16,20.98,4.28,15.54,10.56,11.32,5.58,N/A,N/A,N/A,N/A,0.38,0.79,0.70,0.28,6949.00,3514.00,2311.00,2041.00,772.00,8052.00,2045.00,N/A,N/A,N/A,52.94,N/A,N/A
ABMD,98.68,61.96,111.33,14.73,10.04,53.25,44.54,11.97,N/A,N/A,N/A,N/A,0.65,7.05,6.37,5.48,8176.00,2480.00,1847.00,1323.00,862.00,964.00,1796.00,N/A,N/A,N/A,0.57,N/A,N/A
ACN,35.00,30.96,36.76,4.30,10.89,24.22,20.59,3.32,0.02,80983.00,9466.00,5.75,1.26,1.25,1.25,0.52,3259.00,1529.00,1536.00,1169.00,1472.00,3234.00,3465.00,2813.00,17.96,15.22,8.12,14.08,11.94
ATVI,23.47,33.90,19.33,5.93,2.95,21.61,14.71,7.39,N/A,N/A,N/A,N/A,0.37,5.21,5.21,4.40,7360.00,3790.00,3594.00,3066.00,1121.00,1654.00,1650.00,N/A,N/A,N/A,15.55,N/A,N/A
ADM,18.09,13.67,14.12,0.45,1.68,5.80,11.07,0.62,N/A,N/A,N/A,N/A,1.61,1.45,0.79,0.04,851.00,501.00,389.00,318.00,512.00,1276.00,1325.00,N/A,N/A,N/A,18.85,N/A,N/A
ADBE,44.46,43.12,61.50,18.77,19.79,41.02,31.06,12.47,N/A,N/A,N/A,N/A,0.61,1.22,1.22,0.84,8711.00,3682.00,3611.00,3052.00,1872.00,3437.00,3108.00,N/A,N/A,N/A,17.15,N/A,N/A
ADP,36.67,36.42,29.99,5.36,27.10,28.54,25.20,6.59,N/A,N/A,N/A,N/A,0.30,0.99,0.99,0.03,4686.00,2305.00,2306.00,1787.00,527.00,6630.00,4774.00,N/A,N/A,N/A,5.69,N/A,N/A
AAP,21.21,21.94,25.12,1.41,4.75,13.91,13.34,1.41,N/A,N/A,N/A,N/A,0.92,1.21,0.31,0.12,4459.00,821.00,733.00,560.00,513.00,1842.00,1287.00,N/A,N/A,N/A,31.47,N/A,N/A
AES,N/A,N/A,N/A,1.45,8.21,8.51,9.48,2.91,N/A,N/A,N/A,N/A,0.33,1.13,1.00,0.31,2435.00,2286.00,-955.00,-371.00,-122.00,-1092.00,1006.00,N/A,N/A,N/A,57.68,N/A,N/A
AFL,10.02,9.47,9.14,1.79,1.15,7.82,7.67,2.03,N/A,N/A,N/A,N/A,0.13,0.71,N/A,N/A,N/A,2537.00,2407.00,1956.00,257.00,1295.00,1343.00,N/A,N/A,N/A,4.84,N/A,N/A
A,33.88,31.83,39.96,7.65,8.83,32.56,24.42,6.32,N/A,N/A,N/A,N/A,0.62,2.22,1.74,0.92,5417.00,2163.00,2152.00,1915.00,1190.00,2358.00,1740.00,N/A,N/A,N/A,27.19,N/A,N/A
APD,29.71,26.40,28.09,5.52,4.19,17.09,17.68,5.22,0.14,494477.00,97188.00,5.96,0.40,2.99,2.83,2.07,3037.00,2144.00,2429.00,1965.00,780.00,1584.00,1028.00,989.00,60.70,37.77,30.60,56.53,35.18
AKAM,24.41,26.84,29.78,5.61,4.15,13.82,12.64,4.80,N/A,N/A,N/A,N/A,0.44,2.37,2.37,1.36,5958.00,2332.00,2104.00,1883.00,820.00,1484.00,1120.00,N/A,N/A,N/A,35.13,N/A,N/A
