Item,2022,2021,2020,2019,2018
Cash & Short Term Investments,9.96B,13.42B,7.47B,3.98B,4.91B
Cash & Short Term Investments Growth,-,34.75%,-44.32%,-46.69%,23.34%
Cash Only,2.17B,1.37B,1.1B,623M,445M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.39%,20.19%,12.05%,6.64%,8.11%
Total Accounts Receivable,2.14B,1.51B,1.34B,1.75B,1.71B
Total Accounts Receivable Growth,-,-29.61%,-10.83%,30.40%,-2.51%
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,22.91,19.86,12.92,26.15,26.11
Inventories,2.28B,1.8B,1.61B,1.85B,1.52B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,892M,615M,666M,621M,495M
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,15.27B,17.34B,11.1B,8.21B,8.64B
"Net Property, Plant & Equipment",38.29B,37.39B,39.74B,43.73B,43.25B
"Property, Plant & Equipment - Gross",-,-,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,-,-
Total Investments and Advances,245M,239M,161M,204M,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.15B,6.08B,6.12B,6.18B,6.23B
Net Goodwill,-,-,-,-,-
Net Other Intangibles,2.06B,1.99B,2.03B,2.08B,2.14B
Other Assets,1.66B,1.87B,1.66B,1.03B,1.32B
Total Assets,64.72B,66.47B,62.01B,60B,60.58B
Total Assets Growth,-,2.71%,-6.71%,-3.25%,0.98%
