Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.17B,1.96B,1.91B,2.59B,1.48B
Cash & Short Term Investments Growth,-,-9.83%,-2.61%,35.48%,-42.63%
Cash Only,2.17B,1.95B,1.91B,2.58B,1.44B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.59%,4.68%,4.87%,5.30%,2.35%
Total Accounts Receivable,1.98B,2.44B,2.44B,2.73B,3.17B
Total Accounts Receivable Growth,-,22.94%,0.08%,11.72%,16.25%
"Accounts Receivables, Net",1.98B,2.44B,2.44B,2.73B,3.17B
"Accounts Receivables, Gross",2.04B,2.49B,2.53B,2.81B,3.23B
Bad Debt/Doubtful Accounts,(51.3M),(54.9M),(92.5M),(79.6M),(56.8M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.72,5.81,5.98,5.50,5.20
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,27.67B,29.94B,27.21B,35.43B,50.15B
Miscellaneous Current Assets,27.67B,29.94B,27.21B,35.43B,50.15B
Total Current Assets,31.82B,34.34B,31.56B,40.74B,54.8B
"Net Property, Plant & Equipment",793.7M,764.2M,1.2B,1.15B,1.1B
"Property, Plant & Equipment - Gross",2.14B,2.18B,2.72B,2.71B,2.73B
Buildings,791.8M,781.2M,737.2M,686.5M,675M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",637.1M,651.6M,643.6M,656M,634.3M
Accumulated Depreciation,1.34B,1.42B,1.52B,1.56B,1.63B
Total Investments and Advances,7.2M,261.4M,13.6M,23.5M,122.1M
Other Long-Term Investments,7.2M,261.4M,13.6M,23.5M,122.1M
Long-Term Note Receivables,25.5M,23.8M,18.6M,11.5M,9.1M
Intangible Assets,3.13B,3.39B,3.53B,3.55B,3.63B
Net Goodwill,2.24B,2.32B,2.31B,2.34B,2.3B
Net Other Intangibles,886.4M,1.07B,1.22B,1.21B,1.33B
Other Assets,3.07B,3.1B,2.85B,3.3B,3.24B
Total Assets,38.85B,41.89B,39.17B,48.77B,63.07B
Total Assets Growth,-,7.82%,-6.50%,24.53%,29.31%
