Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,29M,30M,156M,24M,23M
Cash & Short Term Investments Growth,-,3.45%,420.00%,-84.62%,-4.17%
Cash Only,29M,30M,156M,24M,23M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.11%,0.10%,0.49%,0.07%,0.06%
Total Accounts Receivable,837M,734M,749M,820M,1.1B
Total Accounts Receivable Growth,-,-12.31%,2.04%,9.48%,34.15%
"Accounts Receivables, Net",758M,671M,684M,735M,1.05B
"Accounts Receivables, Gross",776M,688M,734M,764M,1.08B
Bad Debt/Doubtful Accounts,(18M),(17M),(50M),(29M),(31M)
Other Receivable,79M,63M,65M,85M,54M
Accounts Receivable Turnover,7.52,8.05,7.74,7.80,7.23
Inventories,483M,494M,521M,592M,667M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,483M,494M,521M,592M,667M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,184M,173M,227M,532M,878M
Miscellaneous Current Assets,184M,173M,227M,532M,878M
Total Current Assets,1.53B,1.43B,1.65B,1.97B,2.67B
"Net Property, Plant & Equipment",22.81B,24.41B,26.81B,29.26B,31.26B
"Property, Plant & Equipment - Gross",35.08B,37.42B,40.58B,43.48B,45.73B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",34B,36.65B,39.72B,42.21B,44.42B
Accumulated Depreciation,12.27B,13.01B,13.77B,14.21B,14.47B
Total Investments and Advances,1.06B,1.26B,1.42B,1.61B,1.46B
Other Long-Term Investments,1.04B,1.24B,1.38B,1.56B,1.41B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,411M,411M,411M,411M,411M
Net Goodwill,411M,411M,411M,411M,411M
Net Other Intangibles,-,-,-,-,-
Other Assets,1.4B,1.42B,1.74B,2.48B,2.1B
Total Assets,27.22B,28.93B,32.03B,35.74B,37.9B
Total Assets Growth,-,6.31%,10.70%,11.57%,6.07%
